pop_no	population	stat_area	CU	year	escapement	er_E	er_2	er_3	total_runE	total_run2	total_run3	age_3	age_4	age_5	rec_E	rec_2	rec_3	RS_E	RS_2	RS_3
1	belowe_ck	5	hecate_strait_mainland	1980	500	0.407	0.416	0.461	843	857	928	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1981	300	0.368	0.392	0.434	475	494	530	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1982	NA	0.319	0.365	0.4	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1983	NA	0.445	0.45	0.499	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1984	100	0.396	0.411	0.455	165	170	184	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1985	NA	0.412	0.423	0.469	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1986	340	0.456	0.45	0.501	625	618	681	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1987	NA	0.352	0.378	0.417	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1988	NA	0.346	0.371	0.41	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1989	NA	0.338	0.368	0.406	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1990	NA	0.383	0.416	0.459	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1991	NA	0.325	0.35	0.394	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1992	NA	0.327	0.354	0.403	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1993	NA	0.292	0.316	0.356	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1994	NA	0.33	0.372	0.421	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1995	NA	0.198	0.241	0.27	NA	NA	NA	0.854411765	0.141176471	0.004411765	261	248	259	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1996	NA	0.403	0.416	0.461	NA	NA	NA	0.854411765	0.141176471	0.004411765	424	411	425	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1997	NA	0.375	0.296	0.348	NA	NA	NA	0.854411765	0.141176471	0.004411765	237	246	254	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	1998	200	0.125	0.078	0.117	229	217	227	0.854411765	0.141176471	0.004411765	300	300	307	1.501597948	1.49777556	1.535511586
1	belowe_ck	5	hecate_strait_mainland	1999	400	0.123	0.09	0.12	456	439	455	0.854411765	0.141176471	0.004411765	633	634	644	1.582163332	1.585010005	1.610766816
1	belowe_ck	5	hecate_strait_mainland	2000	200	0.147	0.185	0.212	234	245	254	0.854411765	0.141176471	0.004411765	347	359	369	1.736117954	1.796094629	1.845765241
1	belowe_ck	5	hecate_strait_mainland	2001	200	0.157	0.153	0.178	237	236	243	0.854411765	0.141176471	0.004411765	302	377	405	1.510172467	1.887299057	2.024816949
1	belowe_ck	5	hecate_strait_mainland	2002	600	0.118	0.119	0.133	680	681	692	0.854411765	0.141176471	0.004411765	354	415	492	0.590346216	0.691042603	0.820103845
1	belowe_ck	5	hecate_strait_mainland	2003	300	0.159	0.161	0.18	357	358	366	0.854411765	0.141176471	0.004411765	142	151	159	0.474655146	0.503936215	0.528875538
1	belowe_ck	5	hecate_strait_mainland	2004	225	0.22	0.384	0.412	288	365	383	0.854411765	0.141176471	0.004411765	91	99	105	0.403369885	0.438770197	0.465739525
1	belowe_ck	5	hecate_strait_mainland	2005	320	0.177	0.301	0.415	389	458	547	0.854411765	0.141176471	0.004411765	198	207	220	0.61899077	0.648165141	0.687699858
1	belowe_ck	5	hecate_strait_mainland	2006	130	0.153	0.2	0.237	153	162	170	0.854411765	0.141176471	0.004411765	255	267	279	1.957838874	2.056052431	2.149590054
1	belowe_ck	5	hecate_strait_mainland	2007	60	0.188	0.265	0.307	74	82	87	0.854411765	0.141176471	0.004411765	202	224	231	3.373307962	3.741362183	3.842345826
1	belowe_ck	5	hecate_strait_mainland	2008	150	0.2	0.237	0.283	188	197	209	0.854411765	0.141176471	0.004411765	121	130	134	0.808608313	0.867086488	0.893140072
1	belowe_ck	5	hecate_strait_mainland	2009	210	0.197	0.229	0.265	262	272	286	0.854411765	0.141176471	0.004411765	125	141	146	0.59734993	0.671540479	0.69589001
1	belowe_ck	5	hecate_strait_mainland	2010	180	0.168	0.253	0.272	216	241	247	0.854411765	0.141176471	0.004411765	105	118	123	0.583445706	0.658274425	0.684725391
1	belowe_ck	5	hecate_strait_mainland	2011	100	0.169	0.218	0.24	120	128	132	0.854411765	0.141176471	0.004411765	32	35	36	0.318351872	0.349770692	0.363253329
1	belowe_ck	5	hecate_strait_mainland	2012	110	0.135	0.23	0.257	127	143	148	0.854411765	0.141176471	0.004411765	66	75	77	0.600878586	0.677766149	0.703687226
1	belowe_ck	5	hecate_strait_mainland	2013	100	0.153	0.25	0.279	118	133	139	0.854411765	0.141176471	0.004411765	144	161	168	1.439750885	1.61215176	1.676695636
1	belowe_ck	5	hecate_strait_mainland	2014	25	0.097	0.169	0.2	28	30	31	0.854411765	0.141176471	0.004411765	171	197	205	6.820634785	7.871189741	8.21733508
1	belowe_ck	5	hecate_strait_mainland	2015	45	0.161	0.26	0.287	54	61	63	0.854411765	0.141176471	0.004411765	99	122	126	2.210036634	2.718324575	2.795447496
1	belowe_ck	5	hecate_strait_mainland	2016	115	0.166	0.251	0.279	138	154	160	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	2017	150	0.176	0.281	0.313	182	209	218	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	2018	86	0.169	0.327	0.345	103	128	131	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	2019	66	0.156	0.294	0.315	78	94	96	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
1	belowe_ck	5	hecate_strait_mainland	2020	NA	0.072	0.242	0.254	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1980	NA	0.407	0.416	0.461	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1981	NA	0.368	0.392	0.434	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1982	NA	0.319	0.365	0.4	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1983	NA	0.445	0.45	0.499	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1984	NA	0.396	0.411	0.455	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1985	NA	0.412	0.423	0.469	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1986	NA	0.456	0.45	0.501	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1987	NA	0.352	0.378	0.417	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1988	NA	0.346	0.371	0.41	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1989	NA	0.338	0.368	0.406	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1990	NA	0.383	0.416	0.459	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1991	NA	0.325	0.35	0.394	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1992	NA	0.327	0.354	0.403	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1993	NA	0.292	0.316	0.356	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1994	NA	0.33	0.372	0.421	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1995	NA	0.198	0.241	0.27	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1996	NA	0.403	0.416	0.461	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1997	NA	0.375	0.296	0.348	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1998	NA	0.125	0.078	0.117	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	1999	250	0.123	0.09	0.12	285	275	284	0.854411765	0.141176471	0.004411765	261	262	266	1.045523647	1.047611755	1.064598292
2	sylvia_ck	5	hecate_strait_mainland	2000	400	0.147	0.185	0.212	469	491	507	0.854411765	0.141176471	0.004411765	136	143	147	0.340889359	0.357804454	0.368461159
2	sylvia_ck	5	hecate_strait_mainland	2001	NA	0.157	0.153	0.178	NA	NA	NA	0.854411765	0.141176471	0.004411765	177	221	237	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	2002	250	0.118	0.119	0.133	283	284	288	0.854411765	0.141176471	0.004411765	215	253	301	0.860861991	1.010445865	1.202765171
2	sylvia_ck	5	hecate_strait_mainland	2003	110	0.159	0.161	0.18	131	131	134	0.854411765	0.141176471	0.004411765	48	51	54	0.439888604	0.466615244	0.489609153
2	sylvia_ck	5	hecate_strait_mainland	2004	130	0.22	0.384	0.412	167	211	221	0.854411765	0.141176471	0.004411765	29	31	33	0.221251827	0.238796334	0.253561414
2	sylvia_ck	5	hecate_strait_mainland	2005	200	0.177	0.301	0.415	243	286	342	0.854411765	0.141176471	0.004411765	96	100	106	0.477835459	0.500382969	0.530656712
2	sylvia_ck	5	hecate_strait_mainland	2006	45	0.153	0.2	0.237	53	56	59	0.854411765	0.141176471	0.004411765	147	155	162	3.263290699	3.438246888	3.590709005
2	sylvia_ck	5	hecate_strait_mainland	2007	15	0.188	0.265	0.307	18	20	22	0.854411765	0.141176471	0.004411765	184	203	209	12.26252311	13.53267619	13.90097756
2	sylvia_ck	5	hecate_strait_mainland	2008	70	0.2	0.237	0.283	88	92	98	0.854411765	0.141176471	0.004411765	229	244	251	3.266529994	3.483705301	3.585997352
2	sylvia_ck	5	hecate_strait_mainland	2009	114	0.197	0.229	0.265	142	148	155	0.854411765	0.141176471	0.004411765	90	102	105	0.792773655	0.891396624	0.923905938
2	sylvia_ck	5	hecate_strait_mainland	2010	144	0.168	0.253	0.272	173	193	198	0.854411765	0.141176471	0.004411765	106	120	125	0.738920815	0.832078722	0.865454156
2	sylvia_ck	5	hecate_strait_mainland	2011	210	0.169	0.218	0.24	253	269	276	0.854411765	0.141176471	0.004411765	63	69	71	0.299266933	0.326659801	0.339294659
2	sylvia_ck	5	hecate_strait_mainland	2012	75	0.135	0.23	0.257	87	97	101	0.854411765	0.141176471	0.004411765	42	47	49	0.557804593	0.630871288	0.654877948
2	sylvia_ck	5	hecate_strait_mainland	2013	96	0.153	0.25	0.279	113	128	133	0.854411765	0.141176471	0.004411765	44	50	52	0.46353051	0.519165048	0.540009749
2	sylvia_ck	5	hecate_strait_mainland	2014	60	0.097	0.169	0.2	66	72	75	0.854411765	0.141176471	0.004411765	54	63	65	0.906922189	1.043326358	1.090001613
2	sylvia_ck	5	hecate_strait_mainland	2015	35	0.161	0.26	0.287	42	47	49	0.854411765	0.141176471	0.004411765	20	25	25	0.578526313	0.707594102	0.727946554
2	sylvia_ck	5	hecate_strait_mainland	2016	35	0.166	0.251	0.279	42	47	49	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	2017	50	0.176	0.281	0.313	61	70	73	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	2018	14	0.169	0.327	0.345	17	21	21	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	2019	35	0.156	0.294	0.315	41	50	51	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
2	sylvia_ck	5	hecate_strait_mainland	2020	NA	0.072	0.242	0.254	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1980	300	0.407	0.416	0.461	506	514	557	0.854411765	0.141176471	0.004411765	888	898	983	2.960828843	2.992359641	3.277996651
3	tsimtack_lk	5	hecate_strait_mainland	1981	800	0.368	0.392	0.434	1266	1317	1413	0.854411765	0.141176471	0.004411765	763	783	846	0.953837132	0.978300922	1.05789936
3	tsimtack_lk	5	hecate_strait_mainland	1982	NA	0.319	0.365	0.4	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1983	500	0.445	0.45	0.499	901	909	997	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1984	500	0.396	0.411	0.455	827	849	918	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1985	200	0.412	0.423	0.469	340	346	376	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1986	1000	0.456	0.45	0.501	1839	1817	2003	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1987	NA	0.352	0.378	0.417	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1988	NA	0.346	0.371	0.41	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1989	NA	0.338	0.368	0.406	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1990	200	0.383	0.416	0.459	324	343	370	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1991	NA	0.325	0.35	0.394	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1992	75	0.327	0.354	0.403	111	116	126	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1993	275	0.292	0.316	0.356	389	402	427	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1994	NA	0.33	0.372	0.421	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1995	NA	0.198	0.241	0.27	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1996	NA	0.403	0.416	0.461	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1997	NA	0.375	0.296	0.348	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
3	tsimtack_lk	5	hecate_strait_mainland	1998	NA	0.125	0.078	0.117	NA	NA	NA	0.854411765	0.141176471	0.004411765	NA	NA	NA	NA	NA	NA
