Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,Recruits
104,Coho,Berners River,Southeast,1,1991,11243,NA,35417,14509,0,NA,NA,49926
104,Coho,Berners River,Southeast,1,1992,22011,NA,15433,9670,46,NA,NA,25149
104,Coho,Berners River,Southeast,1,1993,17145,NA,15443,10061,50,NA,NA,25554
104,Coho,Berners River,Southeast,1,1994,24014,NA,7602,16268,147,NA,NA,24017
104,Coho,Berners River,Southeast,1,1995,5038,NA,8460,22045,46,NA,NA,30551
104,Coho,Berners River,Southeast,1,1996,7361,NA,13345,16596,72,NA,NA,30013
104,Coho,Berners River,Southeast,1,1997,15528,NA,7391,21596,0,NA,NA,28987
104,Coho,Berners River,Southeast,1,1998,9580,NA,15138,29189,71,NA,NA,44398
104,Coho,Berners River,Southeast,1,1999,9302,NA,27311,23344,141,NA,NA,50796
104,Coho,Berners River,Southeast,1,2000,14389,NA,8135,17695,0,NA,NA,25830
104,Coho,Berners River,Southeast,1,2001,22929,NA,18823,3966,34,NA,NA,22823
104,Coho,Berners River,Southeast,1,2002,41089,NA,10051,6937,0,NA,NA,16988
104,Coho,Berners River,Southeast,1,2003,13004,NA,10170,1854,0,NA,NA,12024
104,Coho,Berners River,Southeast,1,2004,21477,NA,7812,5147,20,NA,NA,12979
104,Coho,Berners River,Southeast,1,2005,4926,NA,10877,1990,0,NA,NA,12867
104,Coho,Berners River,Southeast,1,2006,8918,NA,8329,5682,0,NA,NA,14011
104,Coho,Berners River,Southeast,1,2007,3952,NA,17949,2419,42,NA,NA,20410
104,Coho,Berners River,Southeast,1,2008,11764,NA,11069,2754,131,NA,NA,13954
104,Coho,Berners River,Southeast,1,2009,4059,NA,7056,7498,0,NA,NA,14554
104,Coho,Berners River,Southeast,1,2010,9781,NA,14953,11039,69,NA,NA,26061
105,Coho,Ford Arm Lake,Southeast,1,1982,2662,NA,169,2444,1744,50,0,4407
105,Coho,Ford Arm Lake,Southeast,1,1983,1944,NA,491,1150,1245,36,0,2922
105,Coho,Ford Arm Lake,Southeast,0,1984,NA,NA,NA,NA,NA,NA,NA,NA
105,Coho,Ford Arm Lake,Southeast,1,1985,2324,NA,528,3622,1235,24,0,5409
105,Coho,Ford Arm Lake,Southeast,1,1986,1546,NA,326,3627,1504,88,0,5545
105,Coho,Ford Arm Lake,Southeast,0,1987,1694,NA,415,4237,3517,163,30,8362
105,Coho,Ford Arm Lake,Southeast,0,1988,3028,NA,258,5598,5947,435,45,12283
105,Coho,Ford Arm Lake,Southeast,0,1989,2177,NA,100,6485,3796,383,39,10803
106,Coho,Hugh Smith Lake,Southeast,1,1982,2144,NA,296,2441,622,92,0,3451
106,Coho,Hugh Smith Lake,Southeast,1,1983,1490,NA,470,1522,677,0,0,2669
106,Coho,Hugh Smith Lake,Southeast,1,1984,1408,NA,157,619,635,0,0,1411
106,Coho,Hugh Smith Lake,Southeast,1,1985,903,NA,117,1400,974,21,0,2512
106,Coho,Hugh Smith Lake,Southeast,1,1986,1783,NA,388,2754,526,30,0,3698
106,Coho,Hugh Smith Lake,Southeast,0,1987,1118,NA,865,4727,1156,19,14,6781
106,Coho,Hugh Smith Lake,Southeast,0,1988,513,NA,457,3489,591,83,10,4630
106,Coho,Hugh Smith Lake,Southeast,0,1989,424,NA,214,3392,1286,90,11,4993
107,Coho,Akwe River,Southeast,0,1967,NA,NA,NA,NA,1518,NA,NA,1518
107,Coho,Akwe River,Southeast,0,1968,NA,NA,NA,11192,910,NA,NA,12102
107,Coho,Akwe River,Southeast,1,1969,NA,NA,6260,6714,1216,NA,NA,14190
107,Coho,Akwe River,Southeast,1,1970,NA,NA,3755,8967,491,NA,NA,13213
107,Coho,Akwe River,Southeast,1,1971,NA,NA,5016,3620,615,NA,NA,9251
107,Coho,Akwe River,Southeast,1,1972,7000,NA,2025,4535,3145,NA,NA,9705
107,Coho,Akwe River,Southeast,1,1973,3000,NA,2536,23193,2278,NA,NA,28007
107,Coho,Akwe River,Southeast,1,1974,5000,NA,12973,16801,1509,NA,NA,31283
107,Coho,Akwe River,Southeast,1,1975,2200,NA,9397,11130,1608,NA,NA,22135
107,Coho,Akwe River,Southeast,1,1976,1500,NA,6225,11859,1392,NA,NA,19476
107,Coho,Akwe River,Southeast,1,1977,15000,NA,6633,10268,799,NA,NA,17700
107,Coho,Akwe River,Southeast,1,1978,7000,NA,5743,13316,208,NA,NA,19267
107,Coho,Akwe River,Southeast,1,1979,3000,NA,12517,11027,0,NA,NA,23544
107,Coho,Akwe River,Southeast,1,1980,5000,NA,9571,11491,1451,NA,NA,22513
107,Coho,Akwe River,Southeast,1,1981,5000,NA,6187,6891,1941,NA,NA,15019
107,Coho,Akwe River,Southeast,1,1982,3000,NA,3748,14313,3852,NA,NA,21913
107,Coho,Akwe River,Southeast,1,1983,6000,NA,8005,10856,3566,NA,NA,22427
107,Coho,Akwe River,Southeast,1,1984,2800,NA,2801,14771,1492,NA,NA,19064
107,Coho,Akwe River,Southeast,1,1985,2400,NA,7131,12679,793,NA,NA,20603
107,Coho,Akwe River,Southeast,1,1986,5900,NA,4475,8560,359,NA,NA,13394
107,Coho,Akwe River,Southeast,0,1967,NA,NA,NA,NA,3198,NA,NA,3198
107,Coho,Akwe River,Southeast,0,1968,NA,NA,NA,23582,1630,NA,NA,25212
107,Coho,Akwe River,Southeast,1,1969,NA,NA,13190,12024,2416,NA,NA,27630
107,Coho,Akwe River,Southeast,1,1970,NA,NA,6725,17817,1019,NA,NA,25561
107,Coho,Akwe River,Southeast,1,1971,NA,NA,9966,7514,975,NA,NA,18455
107,Coho,Akwe River,Southeast,1,1972,28000,NA,4203,7190,6745,NA,NA,18138
107,Coho,Akwe River,Southeast,1,1973,12000,NA,4021,49743,3958,NA,NA,57722
107,Coho,Akwe River,Southeast,1,1974,20000,NA,27823,29191,2229,NA,NA,59243
107,Coho,Akwe River,Southeast,1,1975,8800,NA,16327,16440,2808,NA,NA,35575
107,Coho,Akwe River,Southeast,1,1976,6000,NA,9195,20709,2592,NA,NA,32496
107,Coho,Akwe River,Southeast,1,1977,60000,NA,11583,19118,1069,NA,NA,31770
107,Coho,Akwe River,Southeast,1,1978,28000,NA,10693,17816,388,NA,NA,28897
107,Coho,Akwe River,Southeast,1,1979,12000,NA,16747,20567,0,NA,NA,37314
107,Coho,Akwe River,Southeast,1,1980,20000,NA,17851,16951,2315,NA,NA,37117
