Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,Recruits
109,Coho,Italio River,Southeast,1,1978,3000,NA,9102,11766,0,NA,NA,20868
109,Coho,Italio River,Southeast,0,1979,3000,NA,12256,2632,0,NA,NA,14888
109,Coho,Italio River,Southeast,1,1980,3000,NA,5857,9658,1834,NA,NA,17349
109,Coho,Italio River,Southeast,1,1981,5500,NA,11805,8669,481,NA,NA,20955
109,Coho,Italio River,Southeast,1,1982,5000,NA,6168,4487,76,NA,NA,10731
109,Coho,Italio River,Southeast,1,1983,500,NA,3045,2440,980,NA,NA,6465
109,Coho,Italio River,Southeast,1,1984,4450,NA,5109,4899,230,NA,NA,10238
109,Coho,Italio River,Southeast,1,1985,5500,NA,3028,2526,497,NA,NA,6051
109,Coho,Italio River,Southeast,1,1986,2700,NA,2985,3604,317,NA,NA,6906
109,Coho,Italio River,Southeast,1,1987,3500,NA,8327,3487,365,NA,NA,12179
109,Coho,Italio River,Southeast,1,1988,4000,NA,4120,4010,799,NA,NA,8929
109,Coho,Italio River,Southeast,0,1989,4200,NA,4739,8788,NA,NA,NA,13527
109,Coho,Italio River,Southeast,0,1990,5700,NA,10385,NA,NA,NA,NA,10385
109,Coho,Italio River,Southeast,0,1991,5000,NA,NA,NA,NA,NA,NA,NA
