CUnm,CUid,broodyear,Sp,Rec_total,Rec_Age3,Rec_Age4,MS_Age3,MS_Age4,ER_Age3,ER_Age4
Middle_Fraser,1,1998,4851,6339,6149,190,0.031,0.036,0.071,0.078
Middle_Fraser,1,1999,1652,4430,4176,254,0.036,0.008,0.078,0.129
Middle_Fraser,1,2000,3920,4371,4120,251,0.008,0.008,0.129,0.131
Middle_Fraser,1,2001,6162,5454,5229,225,0.008,0.003,0.131,0.13
Middle_Fraser,1,2002,4170,2407,2291,116,0.003,0,0.13,0.094
Middle_Fraser,1,2003,3809,1986,1320,666,0,0.009,0.094,0.112
Middle_Fraser,1,2004,4760,10685,10548,137,0.009,0.004,0.112,0.098
Middle_Fraser,1,2005,2189,1859,1486,373,0.004,0.009,0.098,0.115
Middle_Fraser,1,2006,1301,2461,2233,228,0.009,0.009,0.115,0.104
Middle_Fraser,1,2007,9958,5538,5006,532,0.009,0.014,0.104,0.126
Middle_Fraser,1,2008,1464,4529,3956,573,0.014,0.011,0.126,0.112
Middle_Fraser,1,2009,2306,8631,7452,1179,0.011,0.007,0.112,0.162
Middle_Fraser,1,2010,4689,13251,12686,565,0.007,0.011,0.162,0.318
Middle_Fraser,1,2011,3920,4140,3953,187,0.011,0.007,0.318,0.178
Middle_Fraser,1,2012,7126,4813,1460,3353,0.007,0.013,0.178,0.073
Middle_Fraser,1,2013,11625,11980,11388,592,0.013,0.01,0.073,0.097
Middle_Fraser,1,2014,3081,4683,3838,845,0.01,0.014,0.097,0.153
Middle_Fraser,1,2015,1354,3418,3337,81,0.014,0.016,0.153,0.09
Middle_Fraser,1,2016,13600,6502,4308,2194,0.016,0.016,0.09,0.156
Fraser_Canyon,2,1998,5460,6421,6240,181,0.031,0.036,0.071,0.078
Fraser_Canyon,2,1999,4096,4264,3960,304,0.036,0.008,0.078,0.129
Fraser_Canyon,2,2000,2719,5232,4923,309,0.008,0.008,0.129,0.131
Fraser_Canyon,2,2001,5971,6684,6451,233,0.008,0.003,0.131,0.13
Fraser_Canyon,2,2002,3817,2518,2375,143,0.003,0,0.13,0.094
