Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,R8,Recruits
116,Chinook,Kuskokwim,Kuskokwim,0,2010,49073,NA,NA,NA,NA,NA,NA,NA,NA
116,Chinook,Kuskokwim,Kuskokwim,0,2011,72097,NA,NA,NA,NA,NA,NA,NA,NA
117,Chinook,Nushagak,Bristol Bay,0,1959,NA,NA,NA,NA,NA,NA,3168,94,3262
117,Chinook,Nushagak,Bristol Bay,0,1960,NA,NA,NA,NA,NA,69117,12085,125,81327
117,Chinook,Nushagak,Bristol Bay,0,1961,NA,NA,NA,NA,NA,101298,20881,0,122179
117,Chinook,Nushagak,Bristol Bay,1,1962,NA,NA,NA,24102,67032,113952,10463,141,215690
117,Chinook,Nushagak,Bristol Bay,1,1963,NA,NA,0,53707,76329,84512,4666,81,219295
117,Chinook,Nushagak,Bristol Bay,1,1964,NA,NA,0,16550,43979,45941,1505,83,108058
117,Chinook,Nushagak,Bristol Bay,1,1965,NA,NA,715,19594,116181,111471,5047,0,253008
117,Chinook,Nushagak,Bristol Bay,1,1966,81462,NA,123,29152,42741,52165,8122,2309,134612
117,Chinook,Nushagak,Bristol Bay,1,1967,133477,NA,0,13407,24276,69883,41498,481,149545
117,Chinook,Nushagak,Bristol Bay,1,1968,142951,NA,0,19269,27973,112961,15563,0,175766
117,Chinook,Nushagak,Bristol Bay,1,1969,69970,NA,161,2021,24211,52815,4406,0,83614
117,Chinook,Nushagak,Bristol Bay,1,1970,101435,NA,0,2308,99035,122212,7057,1304,231916
117,Chinook,Nushagak,Bristol Bay,1,1971,81237,NA,0,4251,92497,137871,30130,0,264749
117,Chinook,Nushagak,Bristol Bay,1,1972,50156,NA,0,54542,76015,197634,20422,0,348613
117,Chinook,Nushagak,Bristol Bay,1,1973,70130,NA,0,3161,126571,146299,21957,0,297988
117,Chinook,Nushagak,Bristol Bay,1,1974,142535,NA,0,37375,61174,85994,7041,0,191584
117,Chinook,Nushagak,Bristol Bay,1,1975,142791,NA,622,132128,245809,206923,23281,0,608763
117,Chinook,Nushagak,Bristol Bay,1,1976,205273,NA,1187,12794,162995,219891,9779,236,406882
117,Chinook,Nushagak,Bristol Bay,1,1977,132907,NA,0,133157,224311,330577,23654,80,711779
117,Chinook,Nushagak,Bristol Bay,1,1978,268046,NA,3591,38275,73840,87853,36075,68,239702
117,Chinook,Nushagak,Bristol Bay,1,1979,194335,NA,4110,67999,107081,150580,9742,0,339512
117,Chinook,Nushagak,Bristol Bay,1,1980,289040,NA,0,16843,82043,88008,7112,0,194006
117,Chinook,Nushagak,Bristol Bay,1,1981,307527,NA,1437,43485,65724,139122,12808,0,262576
117,Chinook,Nushagak,Bristol Bay,1,1982,300656,NA,2171,2336,66498,55822,10510,0,137337
117,Chinook,Nushagak,Bristol Bay,1,1983,331270,NA,73,18385,38221,95090,2135,0,153904
117,Chinook,Nushagak,Bristol Bay,1,1984,163544,NA,336,28503,49848,40766,3652,0,123105
117,Chinook,Nushagak,Bristol Bay,1,1985,236899,NA,6553,32196,64645,81772,3091,0,188257
117,Chinook,Nushagak,Bristol Bay,1,1986,82777,NA,0,48212,91683,75683,3600,0,219178
117,Chinook,Nushagak,Bristol Bay,1,1987,169562,NA,906,68525,87799,117710,8507,0,283447
117,Chinook,Nushagak,Bristol Bay,1,1988,113006,NA,1085,61287,100816,148698,3254,0,315140
