"Stock.ID","Species","Stock","Region","UseFlag","BroodYear","TotalEscapement","R0.2","R0.3","R0.4","R0.5","R0.6","R1.1","R1.2","R1.3","R1.4","R1.5","R1.6","R2.1","R2.2","R2.3","R2.4","R2.5","TotalRecruits"
106,"Chinook","Andrew Creek","Southeast",1,1979,327,NA,NA,NA,NA,NA,NA,74,186,133,11,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1980,282,NA,NA,NA,NA,NA,NA,183,146,136,0,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1981,536,NA,NA,NA,NA,NA,NA,69,314,220,4,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1982,672,NA,NA,NA,NA,NA,NA,49,102,550,18,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1983,366,NA,NA,NA,NA,NA,NA,110,279,81,3,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1984,389,NA,NA,NA,NA,NA,NA,985,242,104,17,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1985,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1986,1414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1987,1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1988,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1989,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1990,1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Chinook","Andrew Creek","Southeast",1,1991,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
