"","stock","brood_year","esc_index","harv","spwn","rec","rs"
"1","Chignik",1980,178005,252521,356010,653183,1.83473217044465
"2","Chignik",1981,175185,580332,350370,116823,0.333427519479407
"3","Chignik",1982,233935,390096,467870,266590,0.569795028533567
"4","Chignik",1983,61405,159412,122810,283063,2.30488559563553
"5","Chignik",1984,294940,63303,589880,804215,1.36335356343663
"6","Chignik",1985,47009,22805,94018,212304,2.25812078538152
"7","Chignik",1986,44975,176640,89950,655934,7.2922067815453
"8","Chignik",1987,77901,127261,155802,861796,5.53135389789605
"9","Chignik",1988,268220,267775,536440,1092564,2.03669375885467
"10","Chignik",1989,105340,1624,210680,310870,1.47555534459844
"11","Chignik",1990,192965,270004,385930,757776,1.96350633534579
"12","Chignik",1991,300350,261096,600700,795904,1.32496087897453
"13","Chignik",1992,435215,222134,870430,547091,0.62852957733534
"14","Chignik",1993,94255,122360,188510,686945,3.64407723728184
"15","Chignik",1994,265250,227276,530500,504760,0.951479736098021
"16","Chignik",1995,207475,380954,414950,293389,0.707046632124352
"17","Chignik",1996,213100,120891,426200,456919,1.07207648991084
"18","Chignik",1997,265520,155905,531040,732369,1.37912210003013
"19","Chignik",1998,187882,128996,375764,407939,1.0856255522083
"20","Chignik",1999,76396,140597,152792,409388,2.67938111943034
"21","Chignik",2000,167981,120957,335962,595243,1.77175692489031
"22","Chignik",2001,266683,199003,533366,349861,0.655949198111616
"23","Chignik",2002,176690,54559,353380,247930,0.701596015620578
"24","Chignik",2003,172672,64044,345344,552513,1.59989170218681
"25","Chignik",2004,297369,505,594738,603595,1.01489227189115
"26","Chignik",2005,170520,8821,341040,686725,2.0136201032137
"27","Chignik",2006,93150,61630,186300,884629,4.74841116478798
"28","Chignik",2007,236980,78553,473960,774003,1.63305553211241
"29","Chignik",2008,197135,209325,394270,473912,1.2019986303802
"30","Chignik",2009,215150,256425,430300,534955,1.24321403671857
"31","Chignik",2010,151650,581329,303300,214392,0.706864490603363
"32","Chignik",2011,252250,269503,504500,592237,1.17390882061447
"33","Chignik",2012,151400,171112,302800,354135,1.16953434610304
"34","Chignik",2013,189995,154965,379990,1189236,3.12965078028369
"35","Chignik",2014,79620,55152,159240,NA,NA
"36","Chignik",2015,245610,101017,491220,733117,1.49244126867799
"37","Chignik",2016,117850,118435,235700,200190,0.849342384386933
