"","Brood_year","Spawners","Recruits"
"1",1988,1161831.12710237,1206976.54015076
"2",1989,676184.13070485,1792443.72268432
"3",1990,694517.05529837,2714325.28598346
"4",1991,431390.813060112,1521118.69930578
"5",1992,745507.16845496,2192354.28319089
"6",1993,738271.576499724,355036.237001963
"7",1994,2942178.00653344,771049.733719659
"8",1995,1205383.05849554,451330.745529583
"9",1996,2342225.27769945,646779.257364697
"10",1997,398514.955677986,1332552.01870996
"11",1998,441867.868357393,1038114.40438085
"12",1999,360037.395182224,1712815.39471748
"13",2000,462163.537043618,743933.759074498
"14",2001,1037209.68634992,3603506.41313214
"15",2002,1309436.1173038,2901919.37711328
"16",2003,1378664.41748913,3112791.70805555
"17",2004,1202934.44416842,751303.425608812
"18",2005,2136278.00212867,1190149.35090409
"19",2006,3062984.17843929,2198201.30009077
"20",2007,3048555.21609488,2153275.63587232
"21",2008,1326144.16639326,2059120.25901691
"22",2009,1062284.41210423,1149596.28137948
"23",2010,1193473.41694089,891998.35095783
"24",2011,2246653.03083056,713645.652485994
"25",2012,1877338.78262482,1114438.23314091
"26",2013,1463778.30329231,1889871.12553413
"27",2014,992702.26562995,2305297.8779196
"28",2015,867240.744877737,1911323.57150532
"29",2016,849407.125302753,214749.802592328
"30",2017,2034870.89866672,NA
"31",2018,2158482.83705575,NA
"32",2019,1828682.59451499,NA
"33",2020,433408.832596069,NA
"34",2021,116383.429710174,NA
