"","stock","brood_year","spwn","rec","rs"
"1","summer",1978,1629200,2485000,1.52528848514608
"2","summer",1979,1294100,2282885,1.76407155552121
"3","summer",1980,1724900,4293574,2.4891727056641
"4","summer",1981,4065200,6370508,1.5670835383253
"5","summer",1982,1307200,2344371,1.79342946756426
"6","summer",1983,1356500,2390760,1.76244747511979
"7","summer",1984,2813000,5692183,2.02352755065766
"8","summer",1985,3636300,2462377,0.677165525396694
"9","summer",1986,3292500,2450299,0.74420622627183
"10","summer",1987,1155900,3180348,2.75140410070075
"11","summer",1988,2922600,1670507,0.571582495038664
"12","summer",1989,2370500,3496679,1.47508078464459
"13","summer",1990,1384900,3483598,2.51541483139577
"14","summer",1991,2049300,4327419,2.11165715122237
"15","summer",1992,2248200,3479966,1.54788986744952
"16","summer",1993,1663300,805233.7,0.484118138640053
"17","summer",1994,3561900,1440844,0.404515567534181
"18","summer",1995,3587100,684774.6,0.19089922221293
"19","summer",1996,3804000,766585.6,0.201520925341746
"20","summer",1997,1374400,541426.1,0.393936335855646
"21","summer",1998,897990,1153904,1.28498535618437
"22","summer",1999,1046800,1569494,1.49932556362247
"23","summer",2000,481370,969982.1,2.01504476805783
"24","summer",2001,483980,5635964,11.6450349187983
"25","summer",2002,1189400,2041555,1.71645787792164
"26","summer",2003,1183100,2315333,1.95700532499366
"27","summer",2004,1366900,1494493,1.09334479479113
"28","summer",2005,2641300,1310733,0.496245409457464
"29","summer",2006,3836500,2621352,0.683266518962596
"30","summer",2007,1882800,1901571,1.00996972594009
"31","summer",2008,1847900,3852665,2.08488825152876
"32","summer",2009,1465600,2858494,1.95039164847162
"33","summer",2010,1369300,2128753,1.55462864237201
"34","summer",2011,2053300,1634272,0.795924609165733
"35","summer",2012,2057300,3354594,1.63058085840665
"36","summer",2013,2772400,2849457,1.02779432982254
"37","summer",2014,1869000,1746248,0.934322097378277
"38","summer",2015,1553200,1749049,1.12609387071852
"39","summer",2016,1869700,189533.9,0.101371289511686
"40","summer",2017,3005200,345299.3,0.114900605616931
"41","summer",2018,1437000,NA,NA
"42","summer",2019,1405700,NA,NA
"43","summer",2020,706570,NA,NA
"44","summer",2021,154880,NA,NA
"45","summer",2022,472290,NA,NA
"46","summer",2023,869360,NA,NA
"47","fall",1974,671600,859921,1.2804064919595
"48","fall",1975,2289000,2014809,0.880213630406291
"49","fall",1976,545700,921489,1.68863661352391
"50","fall",1977,726700,1381521,1.90108848217972
"51","fall",1978,550900,494795,0.898157560355781
"52","fall",1979,1381000,1254382,0.908314265025344
"53","fall",1980,321900,621509,1.93075178626903
"54","fall",1981,548800,1387507,2.52825619533528
"55","fall",1982,234100,675117,2.88388295600171
"56","fall",1983,500250,1184271,2.36735832083958
"57","fall",1984,351400,596637,1.69788560045532
"58","fall",1985,693000,1257055,1.81393217893218
"59","fall",1986,523400,860781,1.64459495605655
"60","fall",1987,718200,1033782,1.43940685045948
"61","fall",1988,341200,411528,1.20611957796014
"62","fall",1989,528700,733045,1.38650463400794
"63","fall",1990,483450,1159238,2.39784465818596
"64","fall",1991,588700,1540403,2.61661797180228
"65","fall",1992,407800,918056,2.25124080431584
"66","fall",1993,371600,601315,1.61817814854682
"67","fall",1994,945200,391564,0.414265763859501
"68","fall",1995,1153000,340156,0.295018213356461
"69","fall",1996,879100,310686,0.353413718575816
"70","fall",1997,535100,367459,0.686710895159783
"71","fall",1998,279600,336499,1.20350143061516
"72","fall",1999,285100,961719,3.37326902841108
"73","fall",2000,221600,443612,2.00185920577617
"74","fall",2001,326800,2942432,9.00376988984088
"75","fall",2002,398700,731235,1.83404815650865
"76","fall",2003,713150,1398926,1.96161536843581
"77","fall",2004,576000,518424,0.900041666666667
"78","fall",2005,1898000,491818,0.259124341412013
"79","fall",2006,942600,814655,0.864263738595375
"80","fall",2007,955200,1159707,1.21409861809045
"81","fall",2008,639450,1295232,2.02554069903824
"82","fall",2009,497600,1250109,2.51227692926045
"83","fall",2010,505600,755903,1.49506131329114
"84","fall",2011,916450,696064,0.759522068852638
"85","fall",2012,692600,1577342,2.27742131100202
"86","fall",2013,857700,2275559,2.65309432202402
"87","fall",2014,743200,947138,1.2744052744887
"88","fall",2015,545800,781689,1.43218944668377
"89","fall",2016,833500,104613,0.12551049790042
"90","fall",2017,1733500,148046,0.0854029420248053
"91","fall",2018,656200,246642,0.375864065833587
"92","fall",2019,529300,339618,0.641636123181561
"93","fall",2020,178400,NA,NA
"94","fall",2021,94530,NA,NA
"95","fall",2022,239700,NA,NA
"96","fall",2023,311700,NA,NA
