"region","species_name","cuid","cu_name_pse","year","spawners","recruits","kf_alpha","lnrs","ricker_resid","r_s"
"Skeena","Chinook","210","Lower Skeena","1982","1511","3280","-989898","-989898","-989898","2.17074784910655"
"Skeena","Chinook","210","Lower Skeena","1983","511","2588","-989898","-989898","-989898","5.06457925636008"
"Skeena","Chinook","210","Lower Skeena","1984","639","3126","-989898","-989898","-989898","4.89201877934272"
"Skeena","Chinook","210","Lower Skeena","1985","1674","3324","-989898","-989898","-989898","1.98566308243728"
"Skeena","Chinook","210","Lower Skeena","1986","2899","3654","-989898","-989898","-989898","1.26043463263194"
"Skeena","Chinook","210","Lower Skeena","1987","1256","4401","-989898","-989898","-989898","3.50398089171975"
"Skeena","Chinook","210","Lower Skeena","1988","612","4180","-989898","-989898","-989898","6.83006535947712"
"Skeena","Chinook","210","Lower Skeena","1989","2094","3283","-989898","-989898","-989898","1.56781279847182"
"Skeena","Chinook","210","Lower Skeena","1990","1346","3210","-989898","-989898","-989898","2.38484398216939"
"Skeena","Chinook","210","Lower Skeena","1991","1256","3024","-989898","-989898","-989898","2.40764331210191"
"Skeena","Chinook","210","Lower Skeena","1992","2292","3750","-989898","-989898","-989898","1.63612565445026"
"Skeena","Chinook","210","Lower Skeena","1993","2722","4989","-989898","-989898","-989898","1.83284349742836"
"Skeena","Chinook","210","Lower Skeena","1994","688","4164","-989898","-989898","-989898","6.05232558139535"
"Skeena","Chinook","210","Lower Skeena","1995","1645","3062","-989898","-989898","-989898","1.86139817629179"
"Skeena","Chinook","210","Lower Skeena","1996","1496","2880","-989898","-989898","-989898","1.92513368983957"
"Skeena","Chinook","210","Lower Skeena","1997","1418","2713","-989898","-989898","-989898","1.9132581100141"
"Skeena","Chinook","210","Lower Skeena","1998","5235","2676","-989898","-989898","-989898","0.511174785100287"
"Skeena","Chinook","210","Lower Skeena","1999","1765","2470","-989898","-989898","-989898","1.39943342776204"
"Skeena","Chinook","210","Lower Skeena","2000","1328","2344","-989898","-989898","-989898","1.76506024096386"
"Skeena","Chinook","210","Lower Skeena","2001","1999","2672","-989898","-989898","-989898","1.33666833416708"
"Skeena","Chinook","210","Lower Skeena","2002","1261","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2003","1878","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2004","1664","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2005","1003","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2006","1745","685","-989898","-989898","-989898","0.392550143266476"
"Skeena","Chinook","210","Lower Skeena","2007","1852","731","-989898","-989898","-989898","0.394708423326134"
"Skeena","Chinook","210","Lower Skeena","2009","1087","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2010","522","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2011","313","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2012","433","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","2013","606","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1980","566","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1981","1639","16356","-989898","-989898","-989898","9.97925564368517"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1982","-989898","19589","-989898","-989898","-989898","-989898"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1983","1130","22225","-989898","-989898","-989898","19.6681415929204"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1984","1942","21029","-989898","-989898","-989898","10.8285272914521"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1985","5226","21713","-989898","-989898","-989898","4.15480290853425"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1986","8711","30707","-989898","-989898","-989898","3.5250832281024"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1987","8711","35790","-989898","-989898","-989898","4.10859832395821"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1988","10453","26402","-989898","-989898","-989898","2.5257820721324"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1989","7840","17707","-989898","-989898","-989898","2.25854591836735"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1990","11324","16165","-989898","-989898","-989898","1.42749911691982"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1991","8188","16878","-989898","-989898","-989898","2.06130923302394"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1992","28745","17763","-989898","-989898","-989898","0.617950947990955"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1993","7622","19768","-989898","-989898","-989898","2.59354500131199"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1994","9582","23223","-989898","-989898","-989898","2.42360676268002"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1995","5052","27075","-989898","-989898","-989898","5.35926365795724"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1996","10975","26228","-989898","-989898","-989898","2.38979498861048"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1997","9233","21267","-989898","-989898","-989898","2.30336835264811"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1998","13927","19118","-989898","-989898","-989898","1.37272923099016"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","1999","12195","20596","-989898","-989898","-989898","1.68888888888889"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2000","15409","26729","-989898","-989898","-989898","1.73463560256993"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2001","18263","33001","-989898","-989898","-989898","1.8069868039205"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2002","8281","31674","-989898","-989898","-989898","3.82490037435092"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2003","14225","22281","-989898","-989898","-989898","1.56632688927944"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2004","10299","13272","-989898","-989898","-989898","1.28866880279639"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2005","15970","10345","-989898","-989898","-989898","0.647777082028804"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2006","20022","9903","-989898","-989898","-989898","0.494605933473179"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2007","22916","9181","-989898","-989898","-989898","0.400637109443184"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2008","9616","9014","-989898","-989898","-989898","0.937396006655574"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2009","5465","9815","-989898","-989898","-989898","1.79597438243367"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2010","7325","9779","-989898","-989898","-989898","1.33501706484642"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2011","5604","8329","-989898","-989898","-989898","1.48625981441827"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2012","5624","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2013","5027","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2014","6413","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","217","Middle Skeena-Mainstem Tributaries","2015","5949","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1980","19258","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1981","12284","92221","-989898","-989898","-989898","7.50740801042006"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1982","8990","65978","-989898","-989898","-989898","7.33904338153504"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1983","11803","82110","-989898","-989898","-989898","6.95670592222316"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1984","23872","75862","-989898","-989898","-989898","3.17786528150134"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1985","43990","72669","-989898","-989898","-989898","1.65194362355081"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1986","42367","103181","-989898","-989898","-989898","2.43540963485732"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1987","23828","92867","-989898","-989898","-989898","3.8973896256505"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1988","36655","94578","-989898","-989898","-989898","2.58022097940254"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1989","33085","54934","-989898","-989898","-989898","1.66038990479069"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1990","31484","64701","-989898","-989898","-989898","2.05504383178757"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1991","43189","96031","-989898","-989898","-989898","2.22350598532034"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1992","38329","80695","-989898","-989898","-989898","2.10532494977693"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1993","56921","58096","-989898","-989898","-989898","1.02064264506948"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1994","9631","59908","-989898","-989898","-989898","6.22033018378154"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1995","27463","69637","-989898","-989898","-989898","2.53566616902742"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1996","69182","73778","-989898","-989898","-989898","1.06643346535226"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1997","38271","48431","-989898","-989898","-989898","1.26547516396227"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1998","33670","39051","-989898","-989898","-989898","1.15981585981586"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","1999","32545","28205","-989898","-989898","-989898","0.866646182209249"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2000","41118","27855","-989898","-989898","-989898","0.677440536991099"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2001","47410","38990","-989898","-989898","-989898","0.822400337481544"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2002","17529","39856","-989898","-989898","-989898","2.27371783900964"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2003","27466","51488","-989898","-989898","-989898","1.87460860700502"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2004","13426","51141","-989898","-989898","-989898","3.80910174288694"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2005","14970","47266","-989898","-989898","-989898","3.15738142952572"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2006","26682","46761","-989898","-989898","-989898","1.75252979536766"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2007","21448","46300","-989898","-989898","-989898","2.15870943677732"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2008","27892","36581","-989898","-989898","-989898","1.31152301735265"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2009","31046","34963","-989898","-989898","-989898","1.12616762223797"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2010","30700","48687","-989898","-989898","-989898","1.58589576547231"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2011","26808","48623","-989898","-989898","-989898","1.81374962697702"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2012","29780","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2013","18830","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2014","19709","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","222","Middle Skeena-Large Lakes","2015","32318","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","1954","34152","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","1955","514","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","1956","6213","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","1957","3455","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","1958","6867","30813","-989898","-989898","-989898","4.4871122761031"
"Skeena","Chum","211","Lower Skeena","1959","-989898","14757","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","1960","-989898","15758","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","1961","78561","19770","-989898","-989898","-989898","0.251651582846451"
"Skeena","Chum","211","Lower Skeena","1962","17293","60550","-989898","-989898","-989898","3.50141675822587"
"Skeena","Chum","211","Lower Skeena","1963","8901","59940","-989898","-989898","-989898","6.73407482305359"
"Skeena","Chum","211","Lower Skeena","1964","8776","36559","-989898","-989898","-989898","4.16579307201459"
"Skeena","Chum","211","Lower Skeena","1965","8754","33435","-989898","-989898","-989898","3.81939684715559"
"Skeena","Chum","211","Lower Skeena","1966","32639","31633","-989898","-989898","-989898","0.96917797726646"
"Skeena","Chum","211","Lower Skeena","1967","26686","20806","-989898","-989898","-989898","0.779659746683654"
"Skeena","Chum","211","Lower Skeena","1968","18712","97777","-989898","-989898","-989898","5.22536340316374"
"Skeena","Chum","211","Lower Skeena","1969","18270","66074","-989898","-989898","-989898","3.61652983032293"
"Skeena","Chum","211","Lower Skeena","1970","19463","34542","-989898","-989898","-989898","1.77475209371628"
"Skeena","Chum","211","Lower Skeena","1971","6878","23238","-989898","-989898","-989898","3.3785984297761"
"Skeena","Chum","211","Lower Skeena","1972","55601","23618","-989898","-989898","-989898","0.424776532796173"
"Skeena","Chum","211","Lower Skeena","1973","37907","32942","-989898","-989898","-989898","0.869021552747514"
"Skeena","Chum","211","Lower Skeena","1974","16353","18843","-989898","-989898","-989898","1.15226563933223"
"Skeena","Chum","211","Lower Skeena","1975","13243","19691","-989898","-989898","-989898","1.48689873895643"
"Skeena","Chum","211","Lower Skeena","1976","14852","66429","-989898","-989898","-989898","4.47273094532723"
"Skeena","Chum","211","Lower Skeena","1977","14906","38013","-989898","-989898","-989898","2.55018113511338"
"Skeena","Chum","211","Lower Skeena","1978","10241","13741","-989898","-989898","-989898","1.34176349965824"
"Skeena","Chum","211","Lower Skeena","1979","7796","12597","-989898","-989898","-989898","1.6158286300667"
"Skeena","Chum","211","Lower Skeena","1980","39361","88788","-989898","-989898","-989898","2.25573537257692"
"Skeena","Chum","211","Lower Skeena","1981","17968","41333","-989898","-989898","-989898","2.30036731967943"
"Skeena","Chum","211","Lower Skeena","1982","9390","30700","-989898","-989898","-989898","3.26943556975506"
"Skeena","Chum","211","Lower Skeena","1983","2330","40794","-989898","-989898","-989898","17.5081545064378"
"Skeena","Chum","211","Lower Skeena","1984","55531","299114","-989898","-989898","-989898","5.38643280329906"
"Skeena","Chum","211","Lower Skeena","1985","23000","61800","-989898","-989898","-989898","2.68695652173913"
"Skeena","Chum","211","Lower Skeena","1986","16266","12347","-989898","-989898","-989898","0.759067994589942"
"Skeena","Chum","211","Lower Skeena","1987","8511","10581","-989898","-989898","-989898","1.24321466337681"
"Skeena","Chum","211","Lower Skeena","1988","169087","17573","-989898","-989898","-989898","0.103928746739844"
"Skeena","Chum","211","Lower Skeena","1989","33936","33914","-989898","-989898","-989898","0.999351720886374"
"Skeena","Chum","211","Lower Skeena","1990","6265","26159","-989898","-989898","-989898","4.17541899441341"
"Skeena","Chum","211","Lower Skeena","1991","4394","26526","-989898","-989898","-989898","6.0368684569868"
"Skeena","Chum","211","Lower Skeena","1992","7047","30439","-989898","-989898","-989898","4.31942670639989"
"Skeena","Chum","211","Lower Skeena","1993","18257","57846","-989898","-989898","-989898","3.16842854795421"
"Skeena","Chum","211","Lower Skeena","1994","15065","33202","-989898","-989898","-989898","2.20391636242947"
"Skeena","Chum","211","Lower Skeena","1995","14942","8378","-989898","-989898","-989898","0.560701378664168"
"Skeena","Chum","211","Lower Skeena","1996","16017","14732","-989898","-989898","-989898","0.919772741462196"
"Skeena","Chum","211","Lower Skeena","1997","45041","23801","-989898","-989898","-989898","0.528429652982838"
"Skeena","Chum","211","Lower Skeena","1998","29239","9963","-989898","-989898","-989898","0.34074352748042"
"Skeena","Chum","211","Lower Skeena","1999","6168","13801","-989898","-989898","-989898","2.23751621271077"
"Skeena","Chum","211","Lower Skeena","2000","10271","31547","-989898","-989898","-989898","3.07146334339402"
"Skeena","Chum","211","Lower Skeena","2001","18996","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","2002","7292","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","2003","9786","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","2004","25371","5096","-989898","-989898","-989898","0.200859248748571"
"Skeena","Chum","211","Lower Skeena","2005","24758","5130","-989898","-989898","-989898","0.207205751676226"
"Skeena","Chum","211","Lower Skeena","2006","-989898","3346","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","2007","8102","7999","-989898","-989898","-989898","0.987287089607504"
"Skeena","Chum","211","Lower Skeena","2008","4051","5574","-989898","-989898","-989898","1.3759565539373"
"Skeena","Chum","211","Lower Skeena","2009","4645","1492","-989898","-989898","-989898","0.321205597416577"
"Skeena","Chum","211","Lower Skeena","2010","2466","2271","-989898","-989898","-989898","0.920924574209246"
"Skeena","Chum","211","Lower Skeena","2011","6973","2318","-989898","-989898","-989898","0.332425068119891"
"Skeena","Chum","211","Lower Skeena","2012","5078","2469","-989898","-989898","-989898","0.486215045293423"
"Skeena","Chum","211","Lower Skeena","2013","1152","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","2014","1902","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum","211","Lower Skeena","2015","2012","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho","202","Lower Skeena","1954","231607","919904","-989898","-989898","-989898","3.97183159403645"
"Skeena","Coho","202","Lower Skeena","1955","193387","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho","202","Lower Skeena","1956","383388","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho","202","Lower Skeena","1957","261359","907049","-989898","-989898","-989898","3.47050991165408"
"Skeena","Coho","202","Lower Skeena","1958","620978","475707","-989898","-989898","-989898","0.76606095546058"
"Skeena","Coho","202","Lower Skeena","1959","-989898","589173","-989898","-989898","-989898","-989898"
"Skeena","Coho","202","Lower Skeena","1960","496932","909412","-989898","-989898","-989898","1.83005320647493"
"Skeena","Coho","202","Lower Skeena","1961","291312","1029395","-989898","-989898","-989898","3.53365120558027"
"Skeena","Coho","202","Lower Skeena","1962","108945","1161062","-989898","-989898","-989898","10.65732250218"
"Skeena","Coho","202","Lower Skeena","1963","526504","567760","-989898","-989898","-989898","1.07835837904365"
"Skeena","Coho","202","Lower Skeena","1964","264025","498624","-989898","-989898","-989898","1.88854843291355"
"Skeena","Coho","202","Lower Skeena","1965","756017","585649","-989898","-989898","-989898","0.774650570026864"
"Skeena","Coho","202","Lower Skeena","1966","317662","412398","-989898","-989898","-989898","1.29822893515749"
"Skeena","Coho","202","Lower Skeena","1967","153276","486306","-989898","-989898","-989898","3.17274720112738"
"Skeena","Coho","202","Lower Skeena","1968","319857","392616","-989898","-989898","-989898","1.22747352723248"
"Skeena","Coho","202","Lower Skeena","1969","162823","259760","-989898","-989898","-989898","1.5953520080087"
"Skeena","Coho","202","Lower Skeena","1970","227220","160270","-989898","-989898","-989898","0.705351641580847"
"Skeena","Coho","202","Lower Skeena","1971","185274","134331","-989898","-989898","-989898","0.725039670973801"
"Skeena","Coho","202","Lower Skeena","1972","116623","117667","-989898","-989898","-989898","1.00895192200509"
"Skeena","Coho","202","Lower Skeena","1973","72940","157172","-989898","-989898","-989898","2.15481217438991"
"Skeena","Coho","202","Lower Skeena","1974","77480","188554","-989898","-989898","-989898","2.43358286009293"
"Skeena","Coho","202","Lower Skeena","1975","42220","217179","-989898","-989898","-989898","5.14398389388915"
"Skeena","Coho","202","Lower Skeena","1976","92007","234860","-989898","-989898","-989898","2.5526318649668"
"Skeena","Coho","202","Lower Skeena","1977","56924","297395","-989898","-989898","-989898","5.22442203639941"
"Skeena","Coho","202","Lower Skeena","1978","79132","195518","-989898","-989898","-989898","2.47078299550119"
"Skeena","Coho","202","Lower Skeena","1979","47984","186979","-989898","-989898","-989898","3.89669473157719"
"Skeena","Coho","202","Lower Skeena","1980","85180","367528","-989898","-989898","-989898","4.31472176567269"
"Skeena","Coho","202","Lower Skeena","1981","85195","357896","-989898","-989898","-989898","4.20090380890897"
"Skeena","Coho","202","Lower Skeena","1982","46639","474908","-989898","-989898","-989898","10.182636848989"
"Skeena","Coho","202","Lower Skeena","1983","54479","662040","-989898","-989898","-989898","12.1522054369574"
"Skeena","Coho","202","Lower Skeena","1984","133513","278406","-989898","-989898","-989898","2.08523514564125"
"Skeena","Coho","202","Lower Skeena","1985","48857","193735","-989898","-989898","-989898","3.9653478518943"
"Skeena","Coho","202","Lower Skeena","1986","144410","448073","-989898","-989898","-989898","3.10278374073818"
"Skeena","Coho","202","Lower Skeena","1987","149344","511000","-989898","-989898","-989898","3.42163059781444"
"Skeena","Coho","202","Lower Skeena","1988","35318","371263","-989898","-989898","-989898","10.512005209808"
"Skeena","Coho","202","Lower Skeena","1989","124207","275035","-989898","-989898","-989898","2.21432769489642"
"Skeena","Coho","202","Lower Skeena","1990","186603","269613","-989898","-989898","-989898","1.44484815356666"
"Skeena","Coho","202","Lower Skeena","1991","139204","293826","-989898","-989898","-989898","2.11075831154277"
"Skeena","Coho","202","Lower Skeena","1992","129820","132921","-989898","-989898","-989898","1.02388692035126"
"Skeena","Coho","202","Lower Skeena","1993","61342","126900","-989898","-989898","-989898","2.0687294186691"
"Skeena","Coho","202","Lower Skeena","1994","152386","91483","-989898","-989898","-989898","0.600337301326894"
"Skeena","Coho","202","Lower Skeena","1995","59276","164202","-989898","-989898","-989898","2.77012618935151"
"Skeena","Coho","202","Lower Skeena","1996","47928","142496","-989898","-989898","-989898","2.97312635620097"
"Skeena","Coho","202","Lower Skeena","1997","25919","107589","-989898","-989898","-989898","4.15097033064547"
"Skeena","Coho","202","Lower Skeena","1998","115767","143939","-989898","-989898","-989898","1.24335086855494"
"Skeena","Coho","202","Lower Skeena","1999","149768","145889","-989898","-989898","-989898","0.974099941242455"
"Skeena","Coho","202","Lower Skeena","2000","62736","146110","-989898","-989898","-989898","2.32896582504463"
"Skeena","Coho","202","Lower Skeena","2001","107616","124268","-989898","-989898","-989898","1.1547353553375"
"Skeena","Coho","202","Lower Skeena","2002","104596","100059","-989898","-989898","-989898","0.956623580251635"
"Skeena","Coho","202","Lower Skeena","2003","116284","83537","-989898","-989898","-989898","0.718387740359809"
"Skeena","Coho","202","Lower Skeena","2004","77815","80198","-989898","-989898","-989898","1.03062391569749"
"Skeena","Coho","202","Lower Skeena","2005","85553","110183","-989898","-989898","-989898","1.28789171624607"
"Skeena","Coho","202","Lower Skeena","2006","59133","182000","-989898","-989898","-989898","3.07780765393266"
"Skeena","Coho","202","Lower Skeena","2007","53504","158460","-989898","-989898","-989898","2.96164772727273"
"Skeena","Coho","202","Lower Skeena","2008","41281","108004","-989898","-989898","-989898","2.61631258932681"
"Skeena","Coho","202","Lower Skeena","2009","108724","165611","-989898","-989898","-989898","1.52322394319561"
"Skeena","Coho","202","Lower Skeena","2010","135006","213273","-989898","-989898","-989898","1.57972978978712"
"Skeena","Coho","202","Lower Skeena","2011","63601","121039","-989898","-989898","-989898","1.90309900787723"
"Skeena","Coho","202","Lower Skeena","2012","67480","125227","-989898","-989898","-989898","1.85576467101363"
"Skeena","Coho","202","Lower Skeena","2013","158310","148037","-989898","-989898","-989898","0.935108331754153"
"Skeena","Coho","202","Lower Skeena","2014","124904","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho","202","Lower Skeena","2015","36992","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho","215","Middle Skeena","1954","179410","130951","-989898","-989898","-989898","0.729897998996711"
"Skeena","Coho","215","Middle Skeena","1955","144682","186028","-989898","-989898","-989898","1.28577155416707"
