"region","species_name","cuid","cu_name_pse","year","spawners","recruits","kf_alpha","lnrs","ricker_resid","r_s"
"Skeena","Chinook","207","Kalum-Late","1980","4445","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","207","Kalum-Late","1981","9842","33713","-989898","-989898","-989898","3.42542166226377"
"Skeena","Chinook","207","Kalum-Late","1982","5821","52873","-989898","-989898","-989898","9.08314722556262"
"Skeena","Chinook","207","Kalum-Late","1983","11313","52173","-989898","-989898","-989898","4.61177406523469"
"Skeena","Chinook","207","Kalum-Late","1984","12514","44889","-989898","-989898","-989898","3.58710244526131"
"Skeena","Chinook","207","Kalum-Late","1985","8792","36819","-989898","-989898","-989898","4.18778434940855"
"Skeena","Chinook","207","Kalum-Late","1986","10743","30355","-989898","-989898","-989898","2.82556083030811"
"Skeena","Chinook","207","Kalum-Late","1987","25937","30592","-989898","-989898","-989898","1.17947333924509"
"Skeena","Chinook","207","Kalum-Late","1988","24082","29915","-989898","-989898","-989898","1.24221410181879"
"Skeena","Chinook","207","Kalum-Late","1989","21060","23905","-989898","-989898","-989898","1.13509021842355"
"Skeena","Chinook","207","Kalum-Late","1990","21166","21036","-989898","-989898","-989898","0.993858074270056"
"Skeena","Chinook","207","Kalum-Late","1991","9736","15827","-989898","-989898","-989898","1.6256162695152"
"Skeena","Chinook","207","Kalum-Late","1992","14816","13570","-989898","-989898","-989898","0.915901727861771"
"Skeena","Chinook","207","Kalum-Late","1993","15874","17081","-989898","-989898","-989898","1.07603628575028"
"Skeena","Chinook","207","Kalum-Late","1994","14816","22895","-989898","-989898","-989898","1.54528887688985"
"Skeena","Chinook","207","Kalum-Late","1995","6680","34570","-989898","-989898","-989898","5.1751497005988"
"Skeena","Chinook","207","Kalum-Late","1996","12540","41357","-989898","-989898","-989898","3.29800637958533"
"Skeena","Chinook","207","Kalum-Late","1997","5653","41249","-989898","-989898","-989898","7.29683353971343"
"Skeena","Chinook","207","Kalum-Late","1998","10076","41005","-989898","-989898","-989898","4.06957125843589"
"Skeena","Chinook","207","Kalum-Late","1999","10583","35029","-989898","-989898","-989898","3.30993102144949"
"Skeena","Chinook","207","Kalum-Late","2000","15380","27750","-989898","-989898","-989898","1.80429128738622"
"Skeena","Chinook","207","Kalum-Late","2001","25480","25820","-989898","-989898","-989898","1.01334379905808"
"Skeena","Chinook","207","Kalum-Late","2002","25239","25032","-989898","-989898","-989898","0.991798407226911"
"Skeena","Chinook","207","Kalum-Late","2003","24984","21315","-989898","-989898","-989898","0.853146013448607"
"Skeena","Chinook","207","Kalum-Late","2004","27269","20506","-989898","-989898","-989898","0.751989438556603"
"Skeena","Chinook","207","Kalum-Late","2005","15923","21533","-989898","-989898","-989898","1.35232054261132"
"Skeena","Chinook","207","Kalum-Late","2006","13089","19051","-989898","-989898","-989898","1.45549698219879"
"Skeena","Chinook","207","Kalum-Late","2007","17213","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","207","Kalum-Late","2008","10979","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","207","Kalum-Late","2009","11327","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","207","Kalum-Late","2010","14511","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","207","Kalum-Late","2011","12811","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","207","Kalum-Late","2012","9909","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","207","Kalum-Late","2015","7609","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","1980","892","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook","210","Lower Skeena","1981","1416","4711","-989898","-989898","-989898","3.32697740112994"
