"region","species_name","species_qualified","cuid","cu_name_pse","year","spawners","recruits","r_s"
"Skeena","Chinook","CK",206,"Kalum-Early",1950,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1951,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1952,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1953,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1954,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1955,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1956,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1957,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1958,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1959,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1960,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1961,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1962,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1963,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1964,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1965,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1966,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1967,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1968,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1969,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1970,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1971,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1972,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1973,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1974,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1975,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1976,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1977,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1978,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1979,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1980,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1981,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1982,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1983,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1984,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1985,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1986,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1987,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1988,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1989,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1990,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1991,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1992,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1993,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1994,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1995,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1996,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1997,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1998,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",1999,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2000,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2001,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2002,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2003,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2004,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2005,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2006,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2007,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2008,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2009,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2010,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2011,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2012,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2013,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2014,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2015,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2016,"-989898","-989898","-989898"
"Skeena","Chinook","CK",206,"Kalum-Early",2017,"-989898","-989898","-989898"
"Skeena","Chinook","CK",207,"Kalum-Late",1950,"-989898","-989898","-989898"
"Skeena","Chinook","CK",207,"Kalum-Late",1951,"-989898","-989898","-989898"
"Skeena","Chinook","CK",207,"Kalum-Late",1952,"-989898","-989898","-989898"
"Skeena","Chinook","CK",207,"Kalum-Late",1953,"-989898","-989898","-989898"
"Skeena","Chinook","CK",207,"Kalum-Late",1954,"-989898","-989898","-989898"
