region,species_name,cuid,cu_name_pse,year,spawners,recruits
Skeena,Chinook,207,Kalum-Late,1980,4445,-989898
Skeena,Chinook,207,Kalum-Late,1981,9842,33713
Skeena,Chinook,207,Kalum-Late,1982,5821,52873
Skeena,Chinook,207,Kalum-Late,1983,11313,52173
Skeena,Chinook,207,Kalum-Late,1984,12514,44889
Skeena,Chinook,207,Kalum-Late,1985,8792,36819
Skeena,Chinook,207,Kalum-Late,1986,10743,30355
Skeena,Chinook,207,Kalum-Late,1987,25937,30592
Skeena,Chinook,207,Kalum-Late,1988,24082,29915
Skeena,Chinook,207,Kalum-Late,1989,21060,23905
Skeena,Chinook,207,Kalum-Late,1990,21166,21036
Skeena,Chinook,207,Kalum-Late,1991,9736,15827
Skeena,Chinook,207,Kalum-Late,1992,14816,13570
Skeena,Chinook,207,Kalum-Late,1993,15874,17081
Skeena,Chinook,207,Kalum-Late,1994,14816,22895
Skeena,Chinook,207,Kalum-Late,1995,6680,34570
Skeena,Chinook,207,Kalum-Late,1996,12540,41357
Skeena,Chinook,207,Kalum-Late,1997,5653,41249
Skeena,Chinook,207,Kalum-Late,1998,10076,41005
Skeena,Chinook,207,Kalum-Late,1999,10583,35029
Skeena,Chinook,207,Kalum-Late,2000,15380,27750
Skeena,Chinook,207,Kalum-Late,2001,25480,25820
Skeena,Chinook,207,Kalum-Late,2002,25239,25032
Skeena,Chinook,207,Kalum-Late,2003,24984,21315
Skeena,Chinook,207,Kalum-Late,2004,27269,20506
Skeena,Chinook,207,Kalum-Late,2005,15923,21533
Skeena,Chinook,207,Kalum-Late,2006,13089,19051
Skeena,Chinook,207,Kalum-Late,2007,17213,-989898
Skeena,Chinook,207,Kalum-Late,2008,10979,-989898
Skeena,Chinook,207,Kalum-Late,2009,11327,-989898
Skeena,Chinook,207,Kalum-Late,2010,14511,-989898
Skeena,Chinook,207,Kalum-Late,2011,12811,-989898
Skeena,Chinook,207,Kalum-Late,2012,9909,-989898
Skeena,Chinook,207,Kalum-Late,2015,7609,-989898
Skeena,Chinook,210,Lower Skeena,1980,892,-989898
Skeena,Chinook,210,Lower Skeena,1981,1416,4711
Skeena,Chinook,210,Lower Skeena,1982,1511,3280
Skeena,Chinook,210,Lower Skeena,1983,511,2588
Skeena,Chinook,210,Lower Skeena,1984,639,3126
Skeena,Chinook,210,Lower Skeena,1985,1674,3324
Skeena,Chinook,210,Lower Skeena,1986,2899,3654
Skeena,Chinook,210,Lower Skeena,1987,1256,4401
Skeena,Chinook,210,Lower Skeena,1988,612,4180
Skeena,Chinook,210,Lower Skeena,1989,2094,3283
Skeena,Chinook,210,Lower Skeena,1990,1346,3210
Skeena,Chinook,210,Lower Skeena,1991,1256,3024
Skeena,Chinook,210,Lower Skeena,1992,2292,3750
