stock.id,species,stock,brood.yr,spawners,recruits,use
201,Pink,Puyallup,1957,,29802,
201,Pink,Puyallup,1958,,,
201,Pink,Puyallup,1959,14000,35300,1
201,Pink,Puyallup,1960,,,
201,Pink,Puyallup,1961,10000,115311,1
201,Pink,Puyallup,1962,,,
201,Pink,Puyallup,1963,10221,35628,1
201,Pink,Puyallup,1964,,,
201,Pink,Puyallup,1965,25131,40277,1
201,Pink,Puyallup,1966,,,
201,Pink,Puyallup,1967,22038,22868,1
201,Pink,Puyallup,1968,,,
201,Pink,Puyallup,1969,16003,63066,1
201,Pink,Puyallup,1970,,,
201,Pink,Puyallup,1971,40000,31597,1
201,Pink,Puyallup,1972,,,
201,Pink,Puyallup,1973,12194,35512,1
201,Pink,Puyallup,1974,,,
201,Pink,Puyallup,1975,11800,55191,1
201,Pink,Puyallup,1976,,,
201,Pink,Puyallup,1977,29429,102377,1
201,Pink,Puyallup,1978,,,
201,Pink,Puyallup,1979,29481,34017,1
201,Pink,Puyallup,1980,,,
201,Pink,Puyallup,1981,12115,25341,1
201,Pink,Puyallup,1982,,,
201,Pink,Puyallup,1983,11600,53773,1
201,Pink,Puyallup,1984,,,
201,Pink,Puyallup,1985,34100,45780,1
201,Pink,Puyallup,1986,,,
201,Pink,Puyallup,1987,34400,108869,1
201,Pink,Puyallup,1988,,,
201,Pink,Puyallup,1989,49850,23354,1
201,Pink,Puyallup,1990,,,
201,Pink,Puyallup,1991,14000,12837,1
201,Pink,Puyallup,1992,,,
201,Pink,Puyallup,1993,10069,25396,1
201,Pink,Puyallup,1994,,,
201,Pink,Puyallup,1995,17596,3231,1
201,Pink,Puyallup,1996,,,
201,Pink,Puyallup,1997,2732,4731,1
201,Pink,Puyallup,1998,,,
201,Pink,Puyallup,1999,4653,17155,1
201,Pink,Puyallup,2000,,,
201,Pink,Puyallup,2001,16577,197211,1
201,Pink,Puyallup,2002,,,
201,Pink,Puyallup,2003,191515,290622,1
201,Pink,Puyallup,2004,,,
201,Pink,Puyallup,2005,287230,428039,1
201,Pink,Puyallup,2006,,,
201,Pink,Puyallup,2007,417767,1324533,1
202,Pink,Hood Canal,1957,,45207,
202,Pink,Hood Canal,1958,,,
