"","stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ocean.region"
"1","301","Chum","Willapa Bay","Outside WA","Outside WA","WA","46.3733","123.9575","23","","WC"
"2","302","Chum","Grays Harbour","Outside WA","Outside WA","WA","46.95083","124.0497","23","","WC"
"3","303","Chum","S Sound Summer","Inside WA","Inside WA","WA","47.042","122.835","23","","WC"
"4","304","Chum","S Sound Fall","Inside WA","Inside WA","WA","47.042","122.835","23","","WC"
"5","305","Chum","S Sound Winter","Inside WA","Inside WA","WA","47.042","122.835","23","","WC"
"6","306","Chum","Hood Canal","Inside WA","Inside WA","WA","47.5644","122.9956","23","","WC"
"7","307","Chum","Port Susan","Inside WA","Inside WA","WA","48.23861","122.3758","23","Sum of Stillaguamish and Snohomish stocks","WC"
"8","308","Chum","Skagit","Inside WA","Inside WA","WA","48.3875","122.3656","23","","WC"
"9","309","Chum","Bellingham","Inside WA","Inside WA","WA","48.775","122.5978","23","Sum of Nooksack and Samish stocks","WC"
"10","310","Chum","Fraser","Fraser River","BC South","BC","49.12333","123.0569","2","","WC"
"11","311","Chum","BC South (no Fraser)","BC South","BC South","BC","50.28778","125.2008","3, 4","Statistical Areas 11-17, 28A, 28B, 29B","WC"
"12","312","Chum","Area 10","BC Central","BC Central","BC","51.28722","127.6819","5, 6","","WC"
"13","313","Chum","Area 9","BC Central","BC Central","BC","51.46556","127.7422","5, 6","","WC"
"14","314","Chum","Area 8","BC Central","BC Central","BC","51.62194","127.8289","5, 6","","WC"
"15","315","Chum","Area 7","BC Central","BC Central","BC","52.12916","128.380149","5, 6","","WC"
"16","316","Chum","Area 6","BC North","BC North","BC","53.08889","129.1992","5, 6","","WC"
"17","317","Chum","Area 5","BC North","BC North","BC","53.66302","130.423874","5, 6","","WC"
"18","318","Chum","Area 4","BC North","BC North","BC","54.247243","130.477433","5, 6","","WC"
"19","319","Chum","Area 3","BC North","BC North","BC","54.676678","130.502152","5, 6","","WC"
"20","320","Chum","Area 2W","BC North","BC North","BC","52.988408","132.411026","5, 6","","WC"
"21","321","Chum","Area 2E","BC North","BC North","BC","53.0175","131.5778","5, 6","","WC"
"22","322","Chum","Area 1","BC North","BC North","BC","54.071771","132.204764","5, 6","","WC"
"23","323","Chum","Kadashan","SEAK","SEAK","AK","57.575","134.75","7","","WC"
"24","324","Chum","Chilkat","SEAK","SEAK","AK","59.201231","135.466669","7","","WC"
"25","325","Chum","East Alsek","Yakutat","Yakutat","AK","59.434","139.547","7","","WC"
"26","326","Chum","PWS","PWS","PWS","AK","60.5","147","8","","GOA"
"27","327","Chum","Kamishak","Cook Inlet","Cook Inlet","AK","59.27","154.1175","9, 10","","GOA"
