"stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ocean.region"
"259","Pink","Lower Skeena River ","SEAK","BC North","BC","54.09","130.21","16","","WC"
"260","Pink","Middle-Upper Skeena (odd)","WC","BC North","BC","54.09","130.21","16","","WC"
"261","Pink","Nass-Skeena Estuary (odd)","SEAK","BC North","BC","54.09","130.21","16","","WC"
"263","Pink","North Haida Gwaii","SEAK","BC North","BC","54.09","132.14","16","","WC"
"264","Pink","East Haida Gwaii","SEAK","BC North","BC","52.66","131.29","16","","WC"
"265","Pink","West Haida Gwaii","SEAK","BC North","BC","52.6","132.09","16","","WC"
"266","Pink","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean","WC","BC Central","BC","51.44111597","127.78","16","","WC"
"267","Pink","Georgia Strait (even)","WC","BC South","BC","49.80573928","124.0410067","16","","WC"
"268","Pink","Georgia Strait (odd)","WC","BC South","BC","49.80573928","124.0410067","16","","WC"
"270","Pink","Southern Fjords (even)","WC","BC South","BC","50.88","126.61","16","","WC"
"247","Pink","Nisqually","Inside WA","Inside WA","WA","47.101","-122.706","7",NA,"WC"
"248","Pink","S South Misc.","Inside WA","Inside WA","WA","447.16","-122.91","7",NA,"WC"
