"stock.id","species","stock","region","sub.region","broodyear","spawners","recruits","use","recruits.2","recruits.3","recruits.4","recruits.5","recruits.6","recruits.7","age"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2003,37947,9163,1,NA,1135,7784,244,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2004,17063,5724,1,NA,1485,3555,684,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2005,14490,16412,1,NA,2497,11125,2790,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2006,10826,41414,1,NA,7147,32857,1410,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2007,11051,62104,1,NA,6543,44681,10880,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2008,3938,27664,1,NA,2244,22593,2827,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2009,14585,33754,1,NA,3593,27437,2724,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2010,33537,34120,1,NA,8924,21858,3338,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2011,29043,41731,1,NA,2923,33644,5164,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2012,25452,77763,1,NA,9813,60898,7052,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2013,21284,14147,1,NA,2311,11229,607,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2014,14711,26417,1,NA,9837,16047,533,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2015,33705,55818,1,NA,25532,29879,407,NA,NA,"data"
"302","Chum","Grays Harbour","Outside WA","Outside WA",2016,62811,22044,1,NA,8117,13295,632,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1968,22007,128509,1,NA,10005,116155,2349,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1969,3439,41801,1,NA,17193,23863,745,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1970,5410,29271,1,NA,15002,14125,144,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1971,4809,13754,1,NA,7762,5916,77,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1972,33523,74853,1,NA,2392,72371,90,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1973,9643,10407,1,NA,4289,5938,180,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1974,19729,13738,1,NA,4009,9678,50,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1975,5803,5537,1,NA,5101,406,30,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1976,32743,7693,1,NA,1065,5299,1329,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1977,3835,22231,1,NA,9752,11656,822,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1978,5875,4838,1,NA,1007,3303,527,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1979,1005,5448,1,NA,2753,2524,171,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1980,7555,15112,1,NA,1789,13013,310,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1981,6294,10129,1,NA,5813,3867,449,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1982,4089,19455,1,NA,3330,14690,1435,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1983,1769,16975,1,NA,4351,10540,2085,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1984,8034,91579,1,NA,15780,72281,3518,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1985,4022,43916,1,NA,11902,28070,3944,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1986,10019,61065,1,NA,5370,48864,6831,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1987,19058,28878,1,NA,1972,21447,5459,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1988,31282,150291,1,NA,11438,130441,8411,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1989,7424,31869,1,NA,5459,19899,6511,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1990,14385,69011,1,NA,7301,55085,6625,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1991,12181,7442,1,NA,2234,4523,686,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1992,27760,177629,1,NA,52425,121402,3802,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1993,33177,17264,1,NA,2985,10840,3439,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1994,54391,54085,1,NA,2055,49547,2482,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1995,55179,50146,1,NA,34518,14964,665,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1996,114316,47511,1,NA,6099,37176,4236,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1997,16001,56728,1,NA,1140,52040,3548,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1998,80404,75468,1,NA,27835,45239,2394,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",1999,23461,42079,1,NA,9758,25133,7188,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2000,27705,201832,1,NA,21543,161930,18359,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2001,62821,30102,1,NA,9080,21022,0,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2002,46798,78678,1,NA,5612,70917,2148,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2003,45945,51969,1,NA,7880,41932,2158,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2004,120782,42582,1,NA,13632,25825,3126,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2005,24701,29100,1,NA,4083,18758,6260,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2006,63345,41794,1,NA,3126,35824,2843,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2007,52669,44996,1,NA,7001,31147,6848,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2008,20872,30153,1,NA,5821,20153,4180,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2009,21659,46599,1,NA,11935,32521,2142,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2010,43739,28681,1,NA,1631,21485,5565,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2011,38515,14928,1,NA,1690,11784,1454,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2012,24521,28601,1,NA,15221,11828,1552,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2013,35441,37381,1,NA,6011,30844,525,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2014,20593,20139,1,NA,6402,13654,83,NA,NA,"data"
