"","stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ocean.region"
"1","225","Pink","Humpy","Yakutat","Yakutat","AK","59.6444","139.5844","7","","WC"
"2","224","Pink","Situk","Yakutat","Yakutat","AK","59.43353","139.5467","7","","WC"
"3","223","Pink","N SEAK Inside","SEAK","SEAK","AK","57.57528","134.7503","7","District 113","WC"
"4","222","Pink","N SEAK Outside","SEAK","SEAK","AK","57.17694","135.7869","7","Districts 109-112, 114, 115","WC"
"5","221","Pink","S SEAK","SEAK","SEAK","AK","55.71556","131.8714","7","Districts 101-108","WC"
"6","246","Pink","Moses-Norton","AYK","AYK","AK","65.748","161.78","7","Sum of Moses Point and Norton Bay Subdistricts","BS"
"7","245","Pink","Nome","AYK","AYK","AK","64.4828","165.305","7","","BS"
"8","244","Pink","Unalakleet","AYK","AYK","AK","63.86944","160.7878","14, 15","","BS"
"9","236","Pink","Central Chig","Chignik","Chignik","AK","56.59639","157.9933","11, 12","","GOA"
"10","235","Pink","Chignik Bay","Chignik","Chignik","AK","56.38528","158.2261","11, 12","","GOA"
"11","237","Pink","E Chig","Chignik","Chignik","AK","56.98528","156.5806","11, 12","","GOA"
"12","239","Pink","Perryville","Chignik","Chignik","AK","55.85417","159.3314","11, 12","","GOA"
"13","238","Pink","W Chig","Chignik","Chignik","AK","56.06667","158.6756","11, 12","","GOA"
"14","264","Pink","East Haida Gwaii ","SEAK","BC North","BC",NA,NA,"16","","WC"
"15","256","Pink","Hecate Lowlands ","WC","BC Central","BC",NA,NA,"16","","WC"
"16","253","Pink","Hecate Strait-Fjords (even)","WC","BC Central","BC",NA,NA,"16","","WC"
"17","255","Pink","Hecate Strait-Fjords (odd)","WC","BC Central","BC",NA,NA,"16","","WC"
"18","258","Pink","Hecate Strait-Lowlands ","WC","BC Central","BC",NA,NA,"16","","WC"
"19","266","Pink","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean ","WC","BC South","BC",NA,NA,"16","","WC"
"20","259","Pink","Lower Skeena River ","SEAK","BC North","BC",NA,NA,"16","","WC"
