"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r5.1","r5.2","r5.3","r6","r6.2","r6.3","r6.4","r7","r7.2","r8","stock.id"
"1","Atnarko-Sockeye","Sockeye",1987,30780,90984,0,6912,8811,0,0,425,57480,17356,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","Atnarko-Sockeye","Sockeye",1988,30000,62288,0,9440,13017,0,0,0,35580,3713,39,NA,NA,0,0,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","Atnarko-Sockeye","Sockeye",1989,15000,39421,0,868,14853,28,0,0,11140,10295,53,NA,NA,0,1501,682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","Atnarko-Sockeye","Sockeye",1990,20000,54979,0,0,6664,39,0,0,31589,14072,38,NA,NA,38,2051,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5","Atnarko-Sockeye","Sockeye",1991,52500,69361,0,4733,9108,28,0,728,43176,10068,0,NA,NA,52,1468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6","Atnarko-Sockeye","Sockeye",1992,41000,49322,151,6470,6517,0,0,995,30893,3914,25,NA,NA,37,0,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7","Atnarko-Sockeye","Sockeye",1993,15000,28183,207,4629,2392,18,0,712,12393,6610,19,NA,NA,0,964,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"8","Atnarko-Sockeye","Sockeye",1994,25000,41466,148,10871,4279,14,0,0,20282,4956,12,NA,NA,24,722,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","Atnarko-Sockeye","Sockeye",1995,55000,26868,870,3039,3208,9,0,467,15205,3268,22,NA,NA,18,476,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10","Atnarko-Sockeye","Sockeye",1996,45000,22151,97,2278,2115,16,0,350,10027,5890,37,NA,NA,12,859,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"11","Atnarko-Sockeye","Sockeye",1997,20000,35068,73,1502,3812,27,0,231,18072,9697,16,NA,NA,22,1414,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"12","Atnarko-Sockeye","Sockeye",1998,30000,44282,48,2708,6277,12,0,416,29755,4164,19,NA,NA,36,607,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"13","Atnarko-Sockeye","Sockeye",1999,25000,26684,87,4459,2696,14,0,685,12778,4947,0,NA,NA,15,721,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"14","Atnarko-Sockeye","Sockeye",2000,15000,23413,142,1915,3202,0,0,294,15179,848,0,NA,NA,18,1696,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15","Atnarko-Sockeye","Sockeye",2001,30000,7454,61,2274,121,0,0,350,3230,837,0,NA,NA,0,478,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16","Atnarko-Sockeye","Sockeye",2002,50000,6519,73,283,717,0,0,202,4544,683,0,NA,NA,0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"17","Atnarko-Sockeye","Sockeye",2003,18000,937,81,120,154,0,0,0,427,126,0,NA,NA,0,7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"18","Atnarko-Sockeye","Sockeye",2004,25000,2877,0,222,74,0,0,0,998,1380,0,NA,NA,0,156,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
