"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r6","r7","r8","stock.id","logRS"
"24","Ayakulik-Chinook","Chinook",2000,19724,6729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,732,NA,NA,NA,NA,3471,1077,1327,NA,212,-1.0754096241557
"25","Ayakulik-Chinook","Chinook",2001,13361,6699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,NA,NA,NA,NA,1046,NA,NA,NA,NA,1457,3314,526,NA,212,-0.690381754080627
"26","Ayakulik-Chinook","Chinook",2002,12190,3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,416,NA,NA,NA,NA,1335,1229,151,NA,212,-1.25732627679029
"27","Ayakulik-Chinook","Chinook",2003,17106,2461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,380,NA,NA,NA,NA,829,804,350,NA,212,-1.93886150774967
"28","Ayakulik-Chinook","Chinook",2004,24425,3032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,397,NA,NA,NA,NA,768,1585,172,NA,212,-2.08638473014872
"29","Ayakulik-Chinook","Chinook",2005,8175,4314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,691,NA,NA,NA,NA,1525,1900,85,NA,212,-0.639215168816352
"30","Ayakulik-Chinook","Chinook",2006,2937,6401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,1637,NA,NA,NA,NA,1473,2905,169,NA,212,0.779065575943383
"31","Ayakulik-Chinook","Chinook",2007,6232,3997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,730,NA,NA,NA,NA,1172,1880,81,NA,212,-0.444153228839261
"32","Ayakulik-Chinook","Chinook",2008,3071,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,633,NA,NA,NA,NA,649,428,140,NA,212,-0.443969698708788
"33","Ayakulik-Chinook","Chinook",2009,2615,2141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,178,NA,NA,NA,NA,228,617,1070,NA,212,-0.199991087909341
"34","Karluk-Chinook","Chinook",1976,6436,7143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,NA,NA,NA,NA,625,NA,NA,NA,NA,2297,3082,721,NA,213,0.104225627042699
"35","Karluk-Chinook","Chinook",1977,7973,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,1169,NA,NA,NA,NA,2639,5946,740,NA,213,0.300610802826385
"36","Karluk-Chinook","Chinook",1978,9334,9778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,NA,NA,NA,NA,1018,NA,NA,NA,NA,3685,4115,551,NA,213,0.0464713166288299
"37","Karluk-Chinook","Chinook",1979,9094,6356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,1011,NA,NA,NA,NA,2040,2610,409,NA,213,-0.358215606728349
"38","Karluk-Chinook","Chinook",1980,4349,4127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,563,NA,NA,NA,NA,1236,1746,345,NA,213,-0.0523951828450566
"39","Karluk-Chinook","Chinook",1981,7114,6146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,668,NA,NA,NA,NA,1615,2999,558,NA,213,-0.146263209817971
