production_stock_name,production_stock_code,broodyr,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,recruits_age42,recruits_age52,recruits_age53,recruits_age62,recruits_age63,recruits_age31,recruits_age41,recruits_age51,recruits_age64,recruits_age72,recruits_age32,recruits_age43,recruits_age21
Early Stuart,1,1948,20960,10859,,,,179412,18741,0,0,0,0,0,,0,0,0,0,0
Early Stuart,1,1949,582228,168458,,,,1029437,1271,0,0,0,0,0,0,0,0,6218,42,0
Early Stuart,1,1950,59443,25658,,,,240545,542,0,0,0,0,0,0,0,0,579,0,0
Early Stuart,1,1951,61041,29785,,,,158428,15217,0,0,0,0,0,0,0,0,9,0,0
Early Stuart,1,1952,33582,15484,,,,78012,10560,0,0,0,0,0,0,0,0,28,0,0
Early Stuart,1,1953,154312,78238,,,,537711,2886,0,0,0,0,0,0,0,0,294,0,0
Early Stuart,1,1954,35058,18010,,,,154781,701,0,0,0,0,0,0,0,0,341,0,0
Early Stuart,1,1955,2170,1397,,,,25824,1632,0,0,0,0,0,0,0,0,11,0,0
Early Stuart,1,1956,25157,16661,,,,101035,6393,2966,0,0,0,0,0,0,0,0,0,0
Early Stuart,1,1957,235033,119273,,,,1215763,3272,3148,0,0,0,0,0,0,0,730,23,0
Early Stuart,1,1958,38812,22196,,,,102112,240,0,0,0,0,0,0,0,0,755,0,0
Early Stuart,1,1959,2670,1297,,,,14682,6153,0,0,0,0,0,0,0,0,0,0,0
Early Stuart,1,1960,14572,7401,,,,69925,4202,0,0,0,0,0,0,0,0,22,0,0
Early Stuart,1,1961,199136,87782,,,,252123,2208,881,0,0,0,0,0,0,0,630,0,0
Early Stuart,1,1962,26716,14103,,,,67661,5992,2132,0,0,0,0,0,0,0,0,0,0
Early Stuart,1,1963,4628,2590,,,,90397,1825,0,0,0,0,0,0,0,0,332,0,0
Early Stuart,1,1964,2421,1300,,,,25940,12949,2971,0,0,0,0,0,0,0,1027,0,0
Early Stuart,1,1965,23045,11241,,,,415253,1526,0,0,0,0,0,0,0,0,432,0,0
Early Stuart,1,1966,10859,5959,,,,83040,0,0,0,0,0,0,0,0,0,1746,0,0
Early Stuart,1,1967,21069,11167,,,,326142,13128,0,0,0,0,0,0,0,0,423,0,0
Early Stuart,1,1968,1587,795,,,,10412,0,0,0,0,0,0,0,0,0,11,0,0
Early Stuart,1,1969,109818,48796,,,,1366181,4452,4237,0,0,0,0,0,0,0,648,76,0
Early Stuart,1,1970,32747,15806,,,,178232,1312,1380,0,0,0,0,0,0,0,1212,0,0
Early Stuart,1,1971,95942,45610,,,,423510,6993,396,0,0,0,0,0,0,0,311,0,0
Early Stuart,1,1972,5086,2253,,,,32207,0,0,0,0,0,0,0,0,0,25,0,0
Early Stuart,1,1973,300653,153876,,,,1342456,3951,1017,0,0,0,0,0,0,0,4591,67,0
Early Stuart,1,1974,39659,21610,,,,141307,2218,477,0,0,0,0,0,0,0,1242,0,0
Early Stuart,1,1975,65780,26252,,,,220007,2852,76,0,0,0,0,0,0,0,150,0,0
Early Stuart,1,1976,12648,6792,,,,28800,3034,0,0,0,0,0,0,0,0,43,0,0
Early Stuart,1,1977,118017,53363,,,,752467,8655,0,0,0,0,0,0,0,0,572,0,0
Early Stuart,1,1978,50097,20004,,,,71470,1180,0,0,0,0,0,0,0,0,202,0,0
Early Stuart,1,1979,92763,36170,,,,89807,17889,206,0,0,0,0,0,0,0,34,0,0
Early Stuart,1,1980,17026,7361,,,,37950,25541,0,0,0,0,0,0,0,0,10,0,0
