Label,Filter,Infill,Stock,Year,Spn,Total.Harvest,TotalER,Total.Run,Rec,RpS,LogRpS,RunAge3,RunAge4,RunAge5,RunAge6,RunAge7,RecAge3,RecAge4,RecAge5,RecAge6,RecAge7,RecTotalNA,RecAgesUse,RecTotal,ER
Main,FALSE,FALSE,Alastair,1954,NA,NA,NA,NA,NA,NA,NA,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1955,NA,NA,NA,NA,NA,NA,NA,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1956,NA,NA,NA,NA,34091.533511384,NA,NA,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1957,NA,NA,NA,NA,27657.3057347637,NA,NA,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1958,NA,NA,NA,NA,16478.1505061338,NA,NA,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1959,NA,NA,NA,NA,13162.6531458066,NA,NA,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1960,7770.455106,2633.140952,25,10403.59606,23532.3047317046,3.02843326557977,1.1080454117263,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1961,29416.7229,9246.261652,24,38662.98455,32500.1517453324,1.10481891051611,0.0996814396537406,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1962,22079.19315,7812.107293,26,29891.30044,43079.8910492666,1.95115332143678,0.668420644630532,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1963,19981.17027,3817.021557,16,23798.19183,30878.2323172107,1.54536655761208,0.435261136327253,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1964,4218.247057,1426.796365,25,5645.043422,9102.92599207936,2.15798787246789,0.769176247018432,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1965,17539.02724,4796.262456,21,22335.28969,5347.97533861435,0.304918583307609,-1.1877104779846,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1966,18649.09225,7910.213431,30,26559.30568,7137.93173440243,0.382749553635911,-0.960374410647738,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1967,27751.62538,13482.84341,33,41234.46879,12032.7259750444,0.433586350719338,-0.835664308320491,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1968,33301.95045,13560.15042,29,46862.10088,9749.80464149604,0.292769778038512,-1.22836871930381,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1969,6660.390091,2077.518565,24,8737.908656,4271.85407147275,0.641381963084293,-0.444130113284232,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1970,4995.292568,1573.58924,24,6568.881808,4897.64588291183,0.980452259050112,-0.0197413249440934,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1971,2553.149535,895.7558481,26,3448.905383,13979.5941146414,5.47543100120119,1.70027099428476,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1972,8880.520121,3221.637413,27,12102.15753,23719.9360228444,2.67100751979079,0.98245574947047,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main,FALSE,FALSE,Alastair,1973,8880.520121,3746.336093,30,12626.85621,27441.6016990353,3.09008946831205,1.12820004463678,0,0.033149171,0.552486188,0.414364641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
