Brood.Year,Spawners,0.1,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,2.4,3.3,Total Run,Total Return,Yield
1968,90958,0,0,0,86418,115,0,42653,14079,0,0,2588,0,0,0,,145853,54895
1969,46964,0,231,0,12833,204,0,85255,6389,0,0,5484,0,522,0,,110918,63954
1970,38797,0,0,0,38507,299,0,8744,69392,0,0,51297,0,0,0,,168239,129442
1971,91887,0,0,0,36811,268,0,107438,101308,0,0,49258,0,0,0,,295083,203196
1972,115486,49,494,0,115995,0,0,103393,114377,0,0,38332,0,0,0,,372640,257154
1973,40880,0,473,0,119001,2433,0,176558,38748,0,0,4521,0,0,0,,341734,300854
1974,71540,0,2753,0,206299,0,0,80966,34636,0,1350,16890,0,0,0,,342894,271354
1975,48884,0,0,0,180735,0,0,111456,20631,0,0,8674,0,0,0,121242,321496,272612
1976,142058,440,1801,0,246019,0,0,368002,33921,0,0,41339,0,0,0,377033,691522,549464
1977,158410,0,4087,0,149175,0,0,358213,51526,0,0,46725,0,0,0,391215,609726,451316
1978,119165,0,0,0,172022,465,0,364328,104561,0,0,53261,0,0,0,459937,694637,575472
1979,155527,0,2464,0,407157,0,0,204448,111795,0,2933,52405,0,1198,0,303099,782400,626873
1980,188314,0,0,0,263580,576,0,484494,257918,0,3499,71037,0,0,0,400433,1081104,892790
1981,262271,0,0,0,853482,1740,0,678387,219784,0,0,94814,234,2488,0,559772,1850929,1588658
1982,184204,0,2185,0,529350,266,0,342715,264940,0,1714,140691,0,0,0,626029,1281861,1097657
1983,215730,747,0,0,345918,482,0,352739,238804,0,239,64100,0,0,0,922771,1003029,787299
1984,238413,0,702,0,255320,380,0,160754,248894,0,1444,88707,915,0,0,633660,757116,518703
1985,512827,0,142,0,60918,126,0,130690,120940,0,762,49327,0,0,0,1655157,362905,-149922
1986,283054,0,0,583,99638,0,0,230784,188169,0,0,148945,0,0,0,1504268,668119,385065
1987,256707,0,641,768,132011,161,0,327504,247266,0,0,173852,0,0,0,1049805,882203,625496
1988,204336,212,0,0,159133,733,0,197095,172862,0,0,132471,0,0,0,992278,662506,458170
1989,164952,0,0,0,63665,588,0,187733,144806,0,0,111827,0,0,0,535031,508619,343667
1990,147663,0,565,0,146985,0,0,109223,173632,0,0,68092,0,0,0,443558,498497,350834
1991,233646,0,0,0,220799,0,0,414143,205266,0,0,102543,0,0,0,602194,942751,709105
1992,188819,0,385,0,185606,0,0,452323,122098,0,1492,51762,0,0,0,883581,813666,624847
1993,151801,0,0,0,145234,0,0,155126,125492,0,1795,91908,440,0,0,608627,519995,368194
1994,218826,0,0,0,194729,1878,0,296657,196341,0,0,73731,0,0,0,611995,763336,544510
1995,202428,681,387,0,236558,372,0,190108,55930,0,1137,42080,1016,489,0,615866,528758,326330
1996,264511,0,0,0,207479,1197,0,376243,109011,0,1951,52977,0,0,0,873107,748858,484347
1997,263780,0,401,0,216921,704,0,278384,118620,0,0,65317,0,0,0,822198,680347,416567
1998,259045,0,1381,0,206143,4923,0,263290,247723,0,1191,65215,0,0,0,531547,789866,530821
1999,312481,0,1539,0,278921,1338,0,224140,510723,0,0,139128,537,0,0,824071,1156326,843845
2000,263631,0,2962,0,613202,1269,0,467639,191201,0,0,109599,0,0,0,528846,1385872,1122241
2001,318735,964,1284,0,419394,1914,0,573939,515285,0,0,114216,0,0,0,748493,1626997,1308262
2002,235731,0,4738,0,663235,7708,0,292890,222994,0,0,58449,0,0,0,665026,1250013,1014282
2003,353526,0,10152,0,517851,1852,0,603710,282320,0,1989,142431,0,0,0,859551,1560304,1206778
2004,523653,0,7406,0,622458,2836,0,501436,298674,0,0,58286,0,0,0,1417988,1491097,967444
2005,360065,0,5672,0,128287,24088,0,255738,255738,0,0,209155,0,0,0,1224551,878678,518613
2006,389645,0,8066,0,226513,12034,0,249075,207535,0,0,41424,0,0,0,1879917,744647,355002
2007,365184,1719,8596,0,110448,21782,0,66847,237982,0,0,37013,0,0,0,1157209,484387,119203
2008,327018,0,11741,0,215278,28080,0,268221,318776,0,0,31544,0,0,0,1575445,873640,546622
2009,326285,0,42815,0,346060,11636,0,324152,227315,0,0,83653,0,0,0,1104972,1035630,709345
2010,295265,1906,19460,0,467313,29448,0,409452,415209,0,720,32518,639,928,0,818623,1377593,1082328
2011,245721,4191,18970,0,246611,12219,0,97688,188641,0,954,117098,0,0,0,809736,686373,440652
2012,374523,2232,5522,0,143497,9406,0,152743,191458,0,0,4671,0,0,0,632426,509530,135007
2013,489654,0,7664,0,284613,32073,0,74533,247799,0,0,3170,0,0,0,1003071,649852,160198
2014,440192,0,22034,0,376236,9182,0,195978,81837,0,2913,12071,0,0,0,1102934,700251,260059
2015,470677,0,4743,0,317073,5803,0,434680,34300,0,0,24048,0,0,0,1174899,820646,349969
2016,239981,0,9391,825,359785,0,0,234081,52526,0,358,6517,0,0,0,480774,663484,423503
2017,358724,96,331,509,594828,10763,0,214645,255086,0,3716,53595,0,83,0,801901,1133652,774928
2018,394309,0,8718,1307,963461,4002,0,527019,209478,0,2332,12698,,,,717164,1729015,
