"system","broodYr","spawn","rec","rps","rec_part","rps_part"
"Igushik",1963,92184,368205.122066703,3.99424110547061,368205.122066702,3.9942411054706
"Igushik",1964,128532,583059.500180181,4.5362983551192,583059.500180181,4.5362983551192
"Igushik",1965,180840,810919.527577424,4.48418230246308,810919.527577423,4.48418230246308
"Igushik",1966,206360,301093.430575705,1.45906876611604,301093.430575705,1.45906876611603
"Igushik",1967,281772,125744.849381645,0.446264530832179,125744.849381645,0.44626453083218
"Igushik",1968,194508,158922.719262924,0.817049783365845,158922.719262923,0.817049783365843
"Igushik",1969,512328,476722.22685709,0.930501996488753,476722.226857089,0.930501996488752
"Igushik",1970,370920,287435.695091682,0.77492638599073,287435.695091681,0.774926385990729
"Igushik",1971,210960,259415.093327239,1.22968853492245,259415.093327239,1.22968853492245
"Igushik",1972,60018,232049.467502464,3.86633122567336,232049.467502463,3.86633122567335
"Igushik",1973,59508,451999.766575413,7.59561347340547,451999.766575412,7.59561347340547
"Igushik",1974,358752,1267129.88809994,3.5320496836253,1267129.88809994,3.5320496836253
"Igushik",1975,241086,2810903.3498592,11.6593387830865,2810903.34985921,11.6593387830866
"Igushik",1976,186120,1354666.65250916,7.27845826622156,1354666.65250916,7.27845826622156
"Igushik",1977,95970,830426.157793119,8.65297653217797,830426.157793119,8.65297653217796
"Igushik",1978,536154,562274.921633802,1.04871906510779,562274.921633802,1.04871906510779
"Igushik",1979,859560,896475.79562251,1.04294731679291,896475.79562251,1.04294731679291
"Igushik",1980,1987530,443803.166703739,0.223293820321574,443803.166703739,0.223293820321574
"Igushik",1981,591144,838645.24558437,1.41868181963171,838645.245584371,1.41868181963172
"Igushik",1982,423768,346608.038627578,0.817919329981448,346608.038627578,0.817919329981447
"Igushik",1983,180438,391104.402289343,2.16752791700941,391104.402289343,2.16752791700941
"Igushik",1984,184872,522953.388363787,2.8287322491442,522953.388363787,2.82873224914421
"Igushik",1985,212454,1138950.75445401,5.36092873965192,1138950.75445401,5.36092873965191
"Igushik",1986,307728,1700596.58768832,5.52629785943536,1700596.58768833,5.52629785943537
"Igushik",1987,169236,445514.670168539,2.63250531901332,445514.670168539,2.63250531901332
"Igushik",1988,170454,614897.817730306,3.6074120744031,614897.817730305,3.60741207440309
"Igushik",1989,461610,991783.682547156,2.14853162311725,991783.682547156,2.14853162311725
"Igushik",1990,365802,1229497.5528373,3.3611012319159,1229497.5528373,3.3611012319159
"Igushik",1991,756126,983938.792614967,1.30128945786148,983938.792614967,1.30128945786148
"Igushik",1992,304920,139561.23869275,0.457697883683425,139561.23869275,0.457697883683426
