Stock,Brood Year,Spawners,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,2.4,3.3,Run,Return,Yield,R/S
Kasilof,1985,"501,071",0,142,0,"60,918",126,0,"130,690","120,940",0,762,"49,327",0,0,0,"602,194","362,906","-138,165",0.7
Kasilof,1986,"270,559",0,0,583,"99,638",0,0,"230,784","188,169",0,0,"148,945",0,0,0,"883,581","668,119","397,560",2.5
Kasilof,1987,"243,244",0,641,768,"132,011",161,0,"327,504","247,266",0,0,"173,852",0,0,0,"608,627","882,204","638,960",3.6
Kasilof,1988,"194,322",212,0,0,"159,133",733,0,"197,095","172,862",0,0,"132,471",0,0,0,"611,995","662,506","468,184",3.4
Kasilof,1989,"154,070",0,0,0,"63,665",588,0,"187,733","144,806",0,0,"111,827",0,0,0,"615,866","508,618","354,548",3.3
Kasilof,1990,"137,317",0,565,0,"146,985",0,0,"109,223","173,632",0,0,"68,092",0,0,0,"873,107","498,496","361,179",3.6
Kasilof,1991,"223,492",0,0,0,"220,799",0,0,"414,143","205,266",0,0,"102,543",0,0,0,"822,198","942,751","719,259",4.2
Kasilof,1992,"181,394",0,385,0,"185,606",0,0,"452,323","122,098",0,"1,492","51,762",0,0,0,"531,547","813,667","632,273",4.5
Kasilof,1993,"142,111",0,0,0,"145,234",0,0,"155,126","125,492",0,"1,795","91,908",440,0,0,"823,631","519,995","377,884",3.7
Kasilof,1994,"204,604",0,0,0,"194,729","1,878",0,"296,657","196,341",0,0,"73,731",0,0,0,"528,846","763,335","558,731",3.7
Kasilof,1995,"188,698",681,387,0,"236,558",372,0,"190,108","55,930",0,"1,137","42,080","1,016",489,0,"747,477","528,759","340,061",2.8
Kasilof,1996,"252,213",0,0,0,"207,479","1,197",0,"376,243","109,011",0,"1,951","52,977",0,0,0,"664,537","748,858","496,645",3
Kasilof,1997,"254,459",0,401,0,"216,921",704,0,"278,384","118,620",0,0,"65,317",0,0,0,"859,551","680,347","425,888",2.7
Kasilof,1998,"248,220",0,"1,381",0,"206,143","4,923",0,"263,290","247,723",0,"1,191","65,215",0,0,0,"1,417,988","789,866","541,646",3.2
Kasilof,1999,"301,403",0,"1,539",0,"278,921","1,338",0,"224,140","510,723",0,0,"139,128",537,0,0,"1,224,014","1,156,326","854,923",3.8
Kasilof,2000,"253,514",0,"2,962",0,"613,202","1,269",0,"467,639","191,201",0,0,"111,067",0,0,0,"1,905,095","1,387,340","1,133,826",5.5
Kasilof,2001,"308,510",964,"1,284",0,"419,394","1,914",0,"581,625","522,187",0,0,"117,094",0,0,0,"1,186,368","1,644,462","1,335,952",5.3
Kasilof,2002,"225,184",0,"4,738",0,"672,118","7,811",0,"300,270","228,613",0,0,"60,044",0,0,0,"1,618,449","1,273,593","1,048,409",5.7
Kasilof,2003,"341,327",0,"10,288",0,"530,899","1,898",0,"620,190","290,026",0,"2,001","143,315",0,0,0,"1,111,831","1,598,617","1,257,290",4.7
Kasilof,2004,"523,653",0,"7,593",0,"639,449","2,913",0,"504,549","300,528",0,0,"56,106",0,0,0,"788,004","1,511,138","987,485",2.9
