Stock,Brood Year,Escapement,0.1,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,3.3,2.4,3.4,4.1,4.2,4.3,4.4,2.5,1.5,,,
Upper Station Late sockeye,1998,"171,214",0,0,89,0,"2,511","13,979",0,"3,281","219,890","25,325",0,"13,190",890,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,1999,"210,016",0,279,"2,323",672,"80,315","15,939",0,"20,091","313,886",19,346,"40,906","5,360",465,9,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2000,"176,783",96,"34,433","5,197","36,394","122,248","4,045",98,"30,388","181,491",0,31,"16,677",986,187,165,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2001,"74,408",0,522,215,"1,701","5,696","8,310",0,"7,078","77,172",0,78,"9,900",300,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2002,"150,349",411,"2,421","3,965","7,179","94,543","8,085",0,"21,609","95,473",0,0,"13,730",0,0,235,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2003,"200,894",43,888,"1,667",337,"51,307","7,446",0,"16,131","256,511",0,357,"15,308",548,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2004,"177,108",669,"5,264","1,535","24,845","99,160","7,094",0,"29,761","255,957",181,0,"5,577","1,457",185,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2005,"156,401",139,"2,828","2,423","3,067","20,933","20,082",0,"6,256","171,458",153,0,"8,694","3,150",0,4,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2006,"153,153",0,931,"1,561",177,"10,327","8,207",0,"5,267","126,317",182,74,"3,988","6,115",531,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2007,"149,709",218,59,787,287,"12,235","11,858",0,"10,286","140,872",46,277,"8,838",241,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2008,"184,856",0,0,"2,217",349,"40,340","7,761",0,"10,196","105,047",943,0,"5,639",0,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2009,"161,736",376,"2,236","1,527","5,796","8,546","16,773",0,"3,942","171,268",0,0,"23,034",250,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2010,"141,139",58,149,"2,066",38,"9,380","3,245",0,"4,197","115,614",24,0,"1,408","1,764",0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2011,"101,893",0,7,533,"5,790","26,119","7,436",0,"7,460","101,503",8,0,"7,308",667,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2012,"149,325",0,"1,699","1,927","3,637","56,890","5,748",0,"45,364","142,715",0,0,"9,326",373,0,0,NA,NA,NA,NA,NA,NA,NA,,,
