Stock,Year,Escapement,Return,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7
Chilkoot,1976," 71,291 "," 123,362 ", -   , -   ," 9,188 "," 102,489 "," 14,591 ", 46 
Chilkoot,1977," 97,368 "," 292,305 ", -   , -   ," 9,657 "," 204,527 "," 79,901 ", 162 
Chilkoot,1978," 35,454 "," 279,209 ", -   , 24 ," 30,204 "," 226,259 "," 23,506 ", 403 
Chilkoot,1979," 96,122 "," 350,528 ", -   , -   ," 17,148 "," 293,873 "," 36,347 ", 524 
Chilkoot,1980," 98,673 "," 213,702 ", 66 , 84 ," 9,875 "," 171,716 "," 31,360 ", 602 
Chilkoot,1981," 84,047 "," 276,382 ", -   , -   ," 16,243 "," 152,105 "," 107,305 ", 730 
Chilkoot,1982," 103,038 "," 348,978 ", -   , 120 ," 18,747 "," 289,300 "," 38,009 "," 2,801 "
Chilkoot,1983," 80,141 "," 421,400 ", -   , 43 ," 27,234 "," 270,483 "," 121,905 "," 1,736 "
Chilkoot,1984," 100,781 "," 353,404 ", -   , 27 ," 22,005 "," 213,234 "," 117,586 ", 553 
Chilkoot,1985," 69,141 "," 229,248 ", -   , -   ," 12,682 "," 133,157 "," 82,555 ", 852 
Chilkoot,1986," 88,024 "," 296,284 ", -   , 63 ," 9,813 "," 217,859 "," 68,043 ", 506 
Chilkoot,1987," 94,208 "," 234,063 ", -   , 78 ," 24,995 "," 151,203 "," 57,695 ", 92 
Chilkoot,1988," 81,274 "," 68,437 ", -   , 19 ," 4,577 "," 46,243 "," 17,527 ", 71 
Chilkoot,1989," 54,900 "," 52,071 ", -   , -   ," 2,712 "," 45,649 "," 3,711 ", -   
Chilkoot,1990," 76,119 "," 13,457 ", -   , -   ," 1,070 "," 7,022 "," 5,357 ", 8 
Chilkoot,1991," 92,375 "," 75,579 ", -   , 25 ," 6,594 "," 62,848 "," 6,084 ", 27 
Chilkoot,1992," 77,601 "," 79,707 ", -   , -   ," 5,204 "," 70,173 "," 4,296 ", 34 
Chilkoot,1993," 52,080 "," 16,519 ", -   , -   ," 2,069 "," 10,213 "," 4,222 ", 15 
Chilkoot,1994," 37,007 "," 25,799 ", -   , -   , 782 ," 12,986 "," 12,031 ", -   
Chilkoot,1995," 7,177 "," 51,338 ", -   , -   ," 6,789 "," 37,568 "," 6,981 ", -   
Chilkoot,1996," 50,741 "," 145,962 ", 15 , -   ," 9,174 "," 134,241 "," 2,500 ", 33 
Chilkoot,1997," 44,254 "," 90,801 ", -   , 24 ," 5,259 "," 76,854 "," 8,663 ", -   
