Stock.ID,Species,Stock,Date.data.obtained,Date.data.incorporated,Ocean.Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID,Comment..we.will.update.this.later.
101,Sockeye,Washington,,,SC,South Coast,WA,WA,47.48,-122.42,1,Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake.
102,Sockeye,Early Stuart,,,SC,Fraser,Fraser Early Stuart,BC,49.12,-123.06,4,NA
103,Sockeye,Bowron,,,SC,Fraser,Fraser Early Summer,BC,49.12,-123.06,4,NA
105,Sockeye,Gates,,,SC,Fraser,Fraser Early Summer,BC,49.12,-123.06,4,Spawning channel
106,Sockeye,Nadina,,,SC,Fraser,Fraser Early Summer,BC,49.12,-123.06,4,Spawning channel
107,Sockeye,Pitt,,,SC,Fraser,Fraser Early Summer,BC,49.12,-123.06,4,Large hatchery influence that could not be separated out
108,Sockeye,Raft,,,SC,Fraser,Fraser Early Summer,BC,49.12,-123.06,4,NA
109,Sockeye,Scotch,,,SC,Fraser,Fraser Early Summer,BC,49.12,-123.06,4,NA
110,Sockeye,Seymour,,,SC,Fraser,Fraser Early Summer,BC,49.12,-123.06,4,NA
111,Sockeye,Chilko,,,SC,Fraser,Fraser Summer,BC,49.12,-123.06,4,Lake fertilization occurred in 1987 and 1989-1992
112,Sockeye,Late Stuart,,,SC,Fraser,Fraser Summer,BC,49.12,-123.06,4,NA
113,Sockeye,Quesnel,,,SC,Fraser,Fraser Summer,BC,49.12,-123.06,4,NA
114,Sockeye,Stellako,,,SC,Fraser,Fraser Summer,BC,49.12,-123.06,4,NA
115,Sockeye,Birkenhead,,,SC,Fraser,Fraser Late,BC,49.12,-123.06,4,NA
116,Sockeye,Cultus,,,SC,Fraser,Fraser Late,BC,49.12,-123.06,4,Hatchery fish released starting in 2000
117,Sockeye,Harrison,,,SC,Fraser,Fraser Late,BC,49.12,-123.06,4,Fry go to sea at BY+1
118,Sockeye,Late Shuswap,,,SC,Fraser,Fraser Late,BC,49.12,-123.06,4,NA
119,Sockeye,Portage,,,SC,Fraser,Fraser Late,BC,49.12,-123.06,4,NA
120,Sockeye,Weaver,,,SC,Fraser,Fraser Late,BC,49.12,-123.06,4,Spawning channel present
121,Sockeye,Great Central,,,SC,South Coast,Barkley Sound,BC,49.24,-124.82,9,NA
122,Sockeye,Sproat,,,SC,South Coast,Barkley Sound,BC,49.24,-124.82,9,NA
123,Sockeye,Long Lake,,,SC,Central Coast,BC Central,BC,51.29,-127.68,8,NA
124,Sockeye,Owikeno Lake,,,SC,Central Coast,BC Central,BC,51.68,-127.25,8,NA
125,Sockeye,Atnarko,,,SC,Central Coast,BC Central,BC,52.38,-126.78,NA,NA
126,Sockeye,Skeena,,,NC,North Coast,BC North,BC,54.01,-130.11,NA,NA
127,Sockeye,Nass (Meziadin),,,NC,North Coast,BC North,BC,54.96,-129.9,12,NA
128,Sockeye,McDonald,,,NC,SEAK,SEAK,AK,55.85,-131.75,NA,
129,Sockeye,Redoubt,,,NC,SEAK,SEAK,AK,56.9,-135.33,2,
130,Sockeye,Speel,,,NC,SEAK,SEAK,AK,57.97,-133.87,2,
131,Sockeye,Chilkoot,,,NC,SEAK,SEAK,AK,58.92,-135.23,2,
132,Sockeye,Chilkat,,,NC,SEAK,SEAK,AK,58.92,-135.23,NA,
133,Sockeye,Klukshu,,,NC,Yakutat,Yakutat,AK,59.12,-138.66,NA,
134,Sockeye,East Alsek,,,NC,Yakutat,Yakutat,AK,59.12,-138.66,NA,
