,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
173,Babine Early Wild,1972,52692,80106,8423,9126,62557,0,0
174,Babine Early Wild,1973,140253,103618,4280,54712,44627,0,0
175,Babine Early Wild,1974,109851,25614,2310,13614,9691,0,0
176,Babine Early Wild,1975,60353,140928,15311,77251,48365,0,0
177,Babine Early Wild,1976,13336,26599,2798,12743,11058,0,0
178,Babine Early Wild,1977,54679,288997,10327,85437,193233,0,0
179,Babine Early Wild,1978,32032,72810,4171,39536,29102,0,0
180,Babine Early Wild,1979,42455,37452,3852,17138,16462,0,0
181,Babine Early Wild,1980,31679,133304,8297,30404,94603,0,0
182,Babine Early Wild,1981,46466,86702,2562,49213,34926,0,0
183,Babine Early Wild,1982,93630,47445,1825,19154,26466,0,0
184,Babine Early Wild,1983,26965,51382,2673,20419,28290,0,0
185,Babine Early Wild,1984,26503,105955,12888,69363,23704,0,0
186,Babine Early Wild,1985,75649,43735,1975,12745,29016,0,0
187,Babine Early Wild,1986,26865,103359,1772,14610,86977,0,0
188,Babine Early Wild,1987,38206,99438,1544,31885,66009,0,0
189,Babine Early Wild,1988,42435,97301,14329,56243,26729,0,0
190,Babine Early Wild,1989,18412,61013,8994,14777,37242,0,0
191,Babine Early Wild,1990,21328,107316,861,13041,93414,0,0
192,Babine Early Wild,1991,58719,181679,6395,101124,74160,0,0
193,Babine Early Wild,1992,52358,356760,20463,100295,236003,0,0
194,Babine Early Wild,1993,16646,149515,1084,74496,73935,0,0
195,Babine Early Wild,1994,25124,14062,580,5201,8281,0,0
196,Babine Early Wild,1995,79679,94981,4138,68566,22277,0,0
197,Babine Early Wild,1996,60909,629521,15584,184101,429836,0,0
198,Babine Early Wild,1997,92245,64172,768,36551,26853,0,0
199,Babine Early Wild,1998,43130,97830,8328,29357,60146,0,0
200,Babine Early Wild,1999,63692,34679,799,19596,14284,0,0
201,Babine Early Wild,2000,84558,69509,5246,48974,15289,0,0
202,Babine Early Wild,2001,232802,39057,753,19354,18950,0,0
203,Babine Early Wild,2002,29324,147269,5043,54575,87651,0,0
204,Babine Early Wild,2003,55028,18000,761,5739,11500,0,0
205,Babine Early Wild,2004,39546,66928,2145,42786,21998,0,0
206,Babine Early Wild,2005,25141,18748,534,6526,11687,0,0
207,Babine Early Wild,2006,40874,74155,788,16070,57297,0,0
208,Babine Early Wild,2007,52862,138814,3561,50191,85063,0,0
209,Babine Early Wild,2008,28667,20608,1849,15373,3386,0,0
210,Babine Early Wild,2009,20503,8047,244,3312,4491,0,0
211,Babine Early Wild,2010,20455,66888,4964,24849,37075,0,0
212,Babine Early Wild,2011,64622,98817,1513,33199,64104,0,0
213,Babine Early Wild,2012,60983,46230,744,16503,28983,0,0
214,Babine Early Wild,2013,8760,2135,265,1135,734,0,0
215,Babine Early Wild,2014,20322,25974,1472,13945,7514,3042,124
216,Babine Early Wild,2015,52239,10548,107,1691,8131,619,0
217,Babine Early Wild,2016,41607,26776,732,6552,18687,804,0
