,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
650,Kitsumkalum,1970,1774,11502,1055,7588,2859,0,0
651,Kitsumkalum,1971,2241,5628,1193,2577,1858,0,0
652,Kitsumkalum,1972,6348,8813,405,1675,6733,0,0
653,Kitsumkalum,1973,6348,8305,263,6068,1974,0,0
654,Kitsumkalum,1974,6348,3537,954,1779,804,0,0
655,Kitsumkalum,1975,3548,1923,280,725,918,0,0
656,Kitsumkalum,1976,1774,1628,114,828,687,0,0
657,Kitsumkalum,1977,6348,1992,130,619,1243,0,0
658,Kitsumkalum,1978,1774,1990,97,1120,772,0,0
659,Kitsumkalum,1979,784,1838,176,696,966,0,0
660,Kitsumkalum,1980,840,3176,109,871,2196,0,0
661,Kitsumkalum,1981,654,4179,137,1979,2064,0,0
662,Kitsumkalum,1982,1027,5446,311,1859,3276,0,0
663,Kitsumkalum,1983,822,6204,292,2952,2960,0,0
664,Kitsumkalum,1984,1064,6904,464,2667,3773,0,0
665,Kitsumkalum,1985,2127,10836,419,3400,7017,0,0
666,Kitsumkalum,1986,2127,14532,535,6323,7674,0,0
667,Kitsumkalum,1987,4254,29257,994,6915,21347,0,0
668,Kitsumkalum,1988,2553,37299,1088,19236,16975,0,0
669,Kitsumkalum,1989,3829,44614,3025,15297,26292,0,0
670,Kitsumkalum,1990,6381,53148,2406,23692,27050,0,0
671,Kitsumkalum,1991,6381,39314,3726,24375,11212,0,0
672,Kitsumkalum,1992,17017,36058,3834,10103,22120,0,0
673,Kitsumkalum,1993,14890,35401,1589,19933,13879,0,0
674,Kitsumkalum,1994,23398,27820,3135,12507,12178,0,0
675,Kitsumkalum,1995,20739,36500,1967,10974,23559,0,0
676,Kitsumkalum,1996,8083,40566,1726,21230,17610,0,0
677,Kitsumkalum,1997,15528,42054,3339,15869,22846,0,0
678,Kitsumkalum,1998,16591,57757,2496,20587,34674,0,0
679,Kitsumkalum,1999,20411,52301,3238,31246,17817,0,0
680,Kitsumkalum,2000,24232,31176,4914,16056,10206,0,0
681,Kitsumkalum,2001,19614,25648,2525,9197,13926,0,0
682,Kitsumkalum,2002,26801,30280,1446,12549,16284,0,0
683,Kitsumkalum,2003,48643,33612,1974,14674,16965,0,0
684,Kitsumkalum,2004,24328,32464,2308,15287,14869,0,0
685,Kitsumkalum,2005,16100,47414,2404,13399,31611,0,0
686,Kitsumkalum,2006,18745,54674,2107,28485,24081,0,0
687,Kitsumkalum,2007,16885,53379,4480,21700,27199,0,0
688,Kitsumkalum,2008,21452,46346,3413,24510,18424,0,0
689,Kitsumkalum,2009,25405,39059,3855,16602,18602,0,0
690,Kitsumkalum,2010,54028,33641,2611,16763,14267,0,0
691,Kitsumkalum,2011,33468,31950,2636,12856,16457,0,0
692,Kitsumkalum,2012,40981,31896,2022,14830,15044,0,0
693,Kitsumkalum,2013,33816,37576,2332,13556,21687,0,0
694,Kitsumkalum,2014,26651,38432,2132,19543,16757,0,0
695,Kitsumkalum,2015,23007,26030,3074,15100,7856,0,0
696,Kitsumkalum,2016,22333,22556,2375,7079,13102,0,0
697,Kitsumkalum,2017,27089,39138,1113,11807,26218,0,NA
698,Kitsumkalum,2018,37597,38989,1857,23626,13507,NA,NA
717,Kitwanga,1960,800,899,0,754,144,0,0
718,Kitwanga,1961,400,1400,0,1295,105,0,0
719,Kitwanga,1962,400,1072,0,938,134,0,NA
720,Kitwanga,1963,400,1301,0,1201,100,NA,NA
757,Kitwanga,2000,231,1993,0,1866,127,0,0
758,Kitwanga,2001,221,1958,0,1143,816,0,0
759,Kitwanga,2002,978,7371,0,7320,51,0,0
760,Kitwanga,2003,3377,669,0,462,207,0,0
761,Kitwanga,2004,1317,2235,0,1857,379,0,0
762,Kitwanga,2005,937,6023,0,3396,2627,0,0
763,Kitwanga,2006,5139,23934,0,23567,366,0,0
764,Kitwanga,2007,245,4067,0,3288,779,0,0
765,Kitwanga,2008,1200,7090,0,6993,98,0,0
766,Kitwanga,2009,3047,2933,0,877,2056,0,0
767,Kitwanga,2010,20804,19061,0,18446,615,0,0
768,Kitwanga,2011,2366,5699,0,5521,178,0,0
769,Kitwanga,2012,5476,1640,0,1598,42,0,0
770,Kitwanga,2013,828,547,0,373,174,0,0
771,Kitwanga,2014,13699,1582,0,1564,18,0,0
772,Kitwanga,2015,4636,218,0,164,54,0,0
773,Kitwanga,2016,1100,533,0,481,52,0,0
774,Kitwanga,2017,357,669,0,466,203,0,NA
775,Kitwanga,2018,1434,1984,0,1821,163,NA,NA
788,Kwinageese,1982,23752,31547,0,4494,25708,1345,0
789,Kwinageese,1983,2786,5911,0,530,5381,0,0
790,Kwinageese,1984,8530,9693,0,2242,6985,465,0
791,Kwinageese,1985,21014,113509,0,70631,42788,90,0
792,Kwinageese,1986,34691,12508,0,3256,7476,1776,0
793,Kwinageese,1987,11376,15371,0,1441,12432,1497,0
794,Kwinageese,1988,3755,5519,0,1776,3743,0,0
795,Kwinageese,1989,22213,82715,161,69624,12803,127,0
796,Kwinageese,1990,19104,2657,0,1266,1336,56,0
797,Kwinageese,1991,3291,7727,0,4834,2893,0,0
798,Kwinageese,1992,5414,8673,0,2615,5935,123,0
799,Kwinageese,1993,15963,54655,0,39721,9838,5097,0
800,Kwinageese,1994,4968,12183,0,2459,9628,96,0
801,Kwinageese,1995,1091,43305,0,41342,1791,172,0
802,Kwinageese,1996,1199,3317,0,501,1980,836,0
803,Kwinageese,1997,10041,20872,0,6457,13272,1143,0
804,Kwinageese,1998,6216,33117,0,14819,18160,138,0
805,Kwinageese,1999,16848,23318,409,20276,2199,434,0
806,Kwinageese,2000,932,10511,560,2455,6888,609,0
807,Kwinageese,2001,3766,18060,68,7690,9671,631,0
808,Kwinageese,2002,10109,21416,212,10798,10023,382,0
809,Kwinageese,2003,16376,18133,298,11191,6074,570,0
810,Kwinageese,2004,2034,16520,309,6782,9048,380,0
811,Kwinageese,2005,8578,16992,187,10103,6040,661,0
812,Kwinageese,2006,10055,17527,279,6744,10504,0,0
813,Kwinageese,2007,10277,18266,186,11728,6323,28,0
814,Kwinageese,2008,9230,3777,324,2976,447,31,0
815,Kwinageese,2009,10986,1699,0,499,494,706,0
816,Kwinageese,2010,10491,13145,14,552,11212,1367,0
817,Kwinageese,2011,14174,34663,15,12518,21717,412,0
818,Kwinageese,2012,6243,31157,345,24248,6544,19,0
819,Kwinageese,2013,601,8793,669,7307,295,522,0
820,Kwinageese,2014,802,8973,202,330,8284,157,0
821,Kwinageese,2015,14399,12126,9,9249,2500,368,0
822,Kwinageese,2016,34801,9109,255,2791,5839,223,0
823,Kwinageese,2017,12894,10507,77,6520,3545,365,0
824,Kwinageese,2018,575,10183,180,3958,5805,240,NA
844,Lakelse,1960,11348,94936,0,20859,74077,0,0
845,Lakelse,1961,14879,70405,0,33524,36881,0,0
846,Lakelse,1962,17333,44869,0,16691,28179,0,0
847,Lakelse,1963,19922,35591,0,12752,22839,0,0
848,Lakelse,1964,52421,22633,0,10336,12297,0,0
849,Lakelse,1965,87763,15422,0,5565,9857,0,0
850,Lakelse,1966,39873,10274,0,4461,5813,0,0
851,Lakelse,1967,29440,7803,0,2631,5172,0,0
852,Lakelse,1968,24933,5977,0,2341,3637,0,0
853,Lakelse,1969,14216,6637,0,1646,4991,0,0
854,Lakelse,1970,11373,6985,0,2259,4727,0,0
855,Lakelse,1971,6561,8028,0,2139,5889,0,0
856,Lakelse,1972,5796,7244,0,2665,4579,0,0
857,Lakelse,1973,3937,12841,0,2072,10769,0,0
858,Lakelse,1974,5249,16000,0,4873,11127,0,0
859,Lakelse,1975,5686,31755,0,5035,26719,0,0
860,Lakelse,1976,6561,26435,0,12092,14343,0,0
861,Lakelse,1977,5085,33169,0,6491,26678,0,0
862,Lakelse,1978,11810,26777,0,12073,14704,0,0
863,Lakelse,1979,12466,14431,0,6654,7777,0,0
864,Lakelse,1980,29438,38864,0,3519,35344,0,0
865,Lakelse,1981,15966,24073,0,15995,8078,0,0
866,Lakelse,1982,30110,7853,0,3656,4197,0,0
867,Lakelse,1983,19246,13192,0,1900,11292,0,0
868,Lakelse,1984,9514,12147,0,5110,7036,0,0
869,Lakelse,1985,36306,5721,0,3184,2537,0,0
870,Lakelse,1986,8967,14166,0,1148,13018,0,0
871,Lakelse,1987,5304,17935,0,5891,12044,0,0
872,Lakelse,1988,10443,20688,0,5451,15237,0,0
873,Lakelse,1989,7677,9908,0,6896,3013,0,0
874,Lakelse,1990,2690,30081,0,1363,28718,0,0
875,Lakelse,1991,13451,39989,0,12996,26992,0,0
876,Lakelse,1992,10389,17021,0,12216,4805,0,0
877,Lakelse,1993,13669,7025,0,2175,4851,0,0
878,Lakelse,1994,3117,10503,0,2195,8307,0,0
879,Lakelse,1995,27448,13534,0,3759,9775,0,0
880,Lakelse,1996,23675,13373,0,4424,8950,0,0
881,Lakelse,1997,3445,10295,0,4050,6245,0,0
882,Lakelse,1998,5318,5109,0,2826,2283,0,0
883,Lakelse,1999,9931,5240,0,1033,4207,0,0
884,Lakelse,2000,10445,8404,0,1904,6500,0,0
885,Lakelse,2001,10960,5144,0,2942,2203,0,0
886,Lakelse,2002,6871,5949,0,997,4952,0,0
887,Lakelse,2003,2783,7846,0,2241,5605,0,0
888,Lakelse,2004,5168,10279,0,2536,7743,0,0
889,Lakelse,2005,8280,19244,0,3504,15740,0,0
890,Lakelse,2006,2530,25964,0,7123,18841,0,0
891,Lakelse,2007,6125,29949,0,8527,21422,0,0
892,Lakelse,2008,7413,29195,0,9695,19500,0,0
893,Lakelse,2009,10305,24081,0,8825,15256,0,0
894,Lakelse,2010,20750,27730,0,6904,20826,0,0
895,Lakelse,2011,23810,32793,0,9425,23368,0,0
896,Lakelse,2012,27594,19301,0,10575,8725,0,0
897,Lakelse,2013,26462,11788,0,3949,7840,0,0
898,Lakelse,2014,20508,15641,0,3548,12093,0,0
899,Lakelse,2015,28528,6366,0,5473,894,0,0
900,Lakelse,2016,29723,8299,0,404,7894,0,0
901,Lakelse,2017,12523,17370,0,3572,13797,0,NA
902,Lakelse,2018,10958,20418,0,6244,14174,NA,NA
915,Lower Nass Sea & River Type,1982,1630,6695,4997,1698,0,0,0
916,Lower Nass Sea & River Type,1983,3167,2548,1111,1437,0,0,0
917,Lower Nass Sea & River Type,1984,10120,2589,940,1648,0,0,0
918,Lower Nass Sea & River Type,1985,9491,4124,1079,3045,0,0,0
919,Lower Nass Sea & River Type,1986,2035,2823,1993,829,0,0,0
920,Lower Nass Sea & River Type,1987,1804,1396,543,853,0,0,0
921,Lower Nass Sea & River Type,1988,1801,1034,558,476,0,0,0
922,Lower Nass Sea & River Type,1989,3033,1291,312,979,0,0,0
923,Lower Nass Sea & River Type,1990,935,3591,641,2950,0,0,0
924,Lower Nass Sea & River Type,1991,928,15924,9605,6320,0,0,0
925,Lower Nass Sea & River Type,1992,447,4234,829,3405,0,0,0
926,Lower Nass Sea & River Type,1993,658,25942,1857,24084,0,0,0
927,Lower Nass Sea & River Type,1994,6213,8287,1703,6584,0,0,0
928,Lower Nass Sea & River Type,1995,3161,18533,7982,10551,0,0,0
929,Lower Nass Sea & River Type,1996,2051,5744,3592,2152,0,0,0
930,Lower Nass Sea & River Type,1997,9887,11242,2506,8736,0,0,0
931,Lower Nass Sea & River Type,1998,7204,814,479,335,0,0,0
932,Lower Nass Sea & River Type,1999,4931,13189,1230,11959,0,0,0
933,Lower Nass Sea & River Type,2000,2641,7348,3633,3715,0,0,0
934,Lower Nass Sea & River Type,2001,4428,9795,3101,6694,0,0,0
935,Lower Nass Sea & River Type,2002,653,10115,7281,2834,0,0,0
936,Lower Nass Sea & River Type,2003,4806,25521,4252,21269,0,0,0
937,Lower Nass Sea & River Type,2004,2527,14429,9556,4874,0,0,0
938,Lower Nass Sea & River Type,2005,6717,21798,6823,14975,0,0,0
939,Lower Nass Sea & River Type,2006,2917,10512,7612,2900,0,0,0
940,Lower Nass Sea & River Type,2007,15226,44340,4251,40089,0,0,0
941,Lower Nass Sea & River Type,2008,9469,27773,12939,14834,0,0,0
942,Lower Nass Sea & River Type,2009,13574,34372,11561,22811,0,0,0
943,Lower Nass Sea & River Type,2010,4719,8492,5899,2593,0,0,0
944,Lower Nass Sea & River Type,2011,32568,90141,30227,59913,0,0,0
945,Lower Nass Sea & River Type,2012,14858,47201,26046,21155,0,0,0
946,Lower Nass Sea & River Type,2013,17064,15078,7944,7134,0,0,0
947,Lower Nass Sea & River Type,2014,19120,28750,12683,15264,0,803,0
948,Lower Nass Sea & River Type,2015,62630,96314,33976,59223,2409,706,0
949,Lower Nass Sea & River Type,2016,23084,26228,15085,10437,706,0,0
950,Lower Nass Sea & River Type,2017,14322,13786,5620,6358,1808,0,0
951,Lower Nass Sea & River Type,2018,44178,17915,7064,10850,0,0,NA
971,Mcdonell,1960,1500,4809,139,647,4023,0,0
972,Mcdonell,1961,1500,9987,102,3625,6260,0,0
973,Mcdonell,1962,1000,6544,570,5641,332,0,0
974,Mcdonell,1963,1600,5034,887,300,3847,0,0
975,Mcdonell,1964,1000,4871,47,3467,1357,0,0
976,Mcdonell,1965,6000,3870,545,1223,2101,0,0
977,Mcdonell,1966,8000,3976,192,1894,1890,0,0
978,Mcdonell,1967,400,2884,298,1703,883,0,0
979,Mcdonell,1968,5000,4186,268,796,3123,0,0
980,Mcdonell,1969,1944,5897,125,2814,2957,0,0
981,Mcdonell,1970,3000,3238,443,2665,131,0,0
982,Mcdonell,1971,2600,1006,419,118,469,0,0
983,Mcdonell,1972,1200,1338,19,423,897,0,0
984,Mcdonell,1973,4000,6981,67,808,6107,0,0
985,Mcdonell,1974,3600,7249,127,5503,1619,0,0
986,Mcdonell,1975,200,2536,865,1459,212,0,0
987,Mcdonell,1976,700,2653,229,191,2232,0,0
988,Mcdonell,1977,1200,3636,30,2012,1595,0,0
989,Mcdonell,1978,8000,7698,316,1437,5944,0,0
990,Mcdonell,1979,2200,6209,226,5356,627,0,0
991,Mcdonell,1980,280,2439,842,565,1032,0,0
992,Mcdonell,1981,3000,5357,89,930,4338,0,0
993,Mcdonell,1982,2000,7749,146,3910,3693,0,0
994,Mcdonell,1983,10000,7663,615,3328,3720,0,0
995,Mcdonell,1984,1000,6301,523,3352,2426,0,0
996,Mcdonell,1985,1200,4921,527,2186,2208,0,0
997,Mcdonell,1986,6000,3297,344,1989,964,0,0
998,Mcdonell,1987,6000,10418,313,869,9236,0,NA
999,Mcdonell,1988,4000,23421,137,8323,14962,NA,NA
1013,Mcdonell,2002,7072,6640,482,3774,2384,0,0
1014,Mcdonell,2003,9106,2921,594,2148,180,0,0
1015,Mcdonell,2004,6000,2511,338,162,2012,0,0
1016,Mcdonell,2005,5887,3931,25,1813,2093,0,0
1017,Mcdonell,2006,5479,4373,285,1886,2202,0,0
1018,Mcdonell,2007,3901,4528,297,1984,2248,0,0
1019,Mcdonell,2008,327,4090,312,2026,1753,0,0
1020,Mcdonell,2009,3736,4265,319,1579,2367,0,0
1021,Mcdonell,2010,3836,10036,248,2133,7654,0,0
1022,Mcdonell,2011,3719,12558,336,6897,5325,0,0
1023,Mcdonell,2012,3940,9413,1085,4799,3529,0,0
1024,Mcdonell,2013,3320,5676,755,3181,1741,0,0
1025,Mcdonell,2014,4220,4283,500,1569,2214,0,0
1026,Mcdonell,2015,14568,2375,247,1995,133,0,0
1027,Mcdonell,2016,8924,3306,314,120,2873,0,0
1028,Mcdonell,2017,7097,5168,19,2589,2560,0,NA
1029,Mcdonell,2018,3417,5889,407,2307,3175,NA,NA
1049,Meziadin,1982,307730,360727,0,41181,302976,16570,0
1050,Meziadin,1983,215756,421792,0,61414,271748,88629,0
1051,Meziadin,1984,188209,184643,0,43082,97720,43842,0
1052,Meziadin,1985,354391,330314,0,40906,229326,60082,0
1053,Meziadin,1986,167205,573491,0,64076,403407,106008,0
1054,Meziadin,1987,198493,1409726,0,394824,883398,131505,0
1055,Meziadin,1988,163639,1977142,0,777390,1127186,72566,0
1056,Meziadin,1989,79671,1239216,0,619953,551498,67766,0
1057,Meziadin,1990,161229,566792,0,101592,416275,48926,0
1058,Meziadin,1991,352498,1293267,0,484040,709420,99807,0
1059,Meziadin,1992,676894,438808,0,57080,330611,51117,0
1060,Meziadin,1993,520720,618375,0,187138,386218,45020,0
1061,Meziadin,1994,303295,765219,0,124953,480210,160057,0
1062,Meziadin,1995,269398,697124,0,232602,296402,168121,0
1063,Meziadin,1996,207881,386197,0,136345,210151,39701,0
1064,Meziadin,1997,198194,950659,0,147106,674921,128632,0
1065,Meziadin,1998,243463,1373214,0,608752,718194,46267,0
1066,Meziadin,1999,228451,927611,0,225106,610720,91785,0
1067,Meziadin,2000,286401,857398,0,259093,416093,182211,0
1068,Meziadin,2001,223866,629452,0,104023,392455,132973,0
1069,Meziadin,2002,523659,512634,0,126146,352890,33598,0
1070,Meziadin,2003,366973,313736,0,25572,221744,66421,0
1071,Meziadin,2004,340463,492507,0,80634,388305,23568,0
1072,Meziadin,2005,318401,363306,0,56202,267105,39999,0
1073,Meziadin,2006,314610,425624,0,94272,257771,73581,0
1074,Meziadin,2007,182650,460921,11784,142219,253445,53474,0
1075,Meziadin,2008,242065,365787,4444,65405,236175,59762,0
1076,Meziadin,2009,286650,535923,20439,147053,243644,124787,0
1077,Meziadin,2010,272240,450826,8912,114926,284237,42750,0
1078,Meziadin,2011,281957,570981,41374,277304,189323,62980,0
1079,Meziadin,2012,247365,237760,6933,64126,148003,18699,0
1080,Meziadin,2013,261242,211083,12214,81874,88819,28176,0
1081,Meziadin,2014,297384,219321,22043,102843,84528,9907,0
1082,Meziadin,2015,449075,300294,23374,115265,138699,22956,0
1083,Meziadin,2016,235614,281780,28176,81733,143223,28647,0
1084,Meziadin,2017,252415,450858,17337,167602,198350,67569,0
1085,Meziadin,2018,206211,837369,114579,258758,386928,77104,NA
1105,Morice,1960,4020,21776,0,939,15320,5517,0
1106,Morice,1961,5742,20227,0,1556,14711,3960,0
1107,Morice,1962,3445,14654,0,1494,10561,2599,0
1108,Morice,1963,1148,10120,0,1073,6931,2116,0
1109,Morice,1964,5742,12427,0,704,5642,6082,0
1110,Morice,1965,11485,21548,0,573,16217,4758,0
1111,Morice,1966,6891,17029,0,1647,12688,2694,0
1112,Morice,1967,3905,10297,0,1289,7185,1824,0
1113,Morice,1968,3445,8254,0,730,4864,2660,0
1114,Morice,1969,3790,7830,0,494,7094,242,0
1115,Morice,1970,10796,1521,0,720,646,154,0
1116,Morice,1971,7580,1421,0,66,412,943,0
1117,Morice,1972,4135,3400,0,42,2515,843,0
1118,Morice,1973,2297,3553,0,255,2249,1049,0
1119,Morice,1974,2756,3681,0,228,2796,657,0
1120,Morice,1975,517,3587,0,284,1752,1551,0
1121,Morice,1976,230,9449,0,178,4136,5135,0
1122,Morice,1977,1378,19791,0,420,13694,5677,0
1123,Morice,1978,1148,21002,0,1391,15139,4472,0
1124,Morice,1979,1608,16251,0,1538,11926,2787,0
1125,Morice,1980,919,13020,0,1211,7433,4376,0
1126,Morice,1981,2297,16710,0,755,11669,4286,0
1127,Morice,1982,6891,14389,0,1185,11430,1774,0
1128,Morice,1983,9188,12548,0,1161,4732,6655,0
1129,Morice,1984,6891,22857,0,481,17746,4630,0
1130,Morice,1985,4594,42673,0,1802,12346,28524,0
1131,Morice,1986,6891,100089,0,1254,76065,22770,0
1132,Morice,1987,9188,84464,0,7725,60720,16018,0
1133,Morice,1988,2297,67915,0,6167,42714,19034,0
1134,Morice,1989,12863,88538,0,4338,50757,33443,0
1135,Morice,1990,6891,128160,0,5155,89182,33823,0
1136,Morice,1991,45939,126054,0,9058,90196,26801,0
1137,Morice,1992,31009,84612,0,9161,71469,3982,0
1138,Morice,1993,25267,23799,0,7259,10619,5922,0
1139,Morice,1994,32732,18884,0,1079,15791,2014,0
1140,Morice,1995,40197,11505,0,1604,5372,4530,0
1141,Morice,1996,47088,14630,0,546,12079,2006,0
1142,Morice,1997,27564,12107,0,1227,5349,5532,0
1143,Morice,1998,6891,19360,0,543,14752,4065,0
1144,Morice,1999,17227,16111,0,1498,10841,3772,0
1145,Morice,2000,3445,16623,0,1101,10058,5464,0
1146,Morice,2001,11098,27440,0,1022,14571,11847,0
1147,Morice,2002,4384,38072,0,1480,31592,5000,0
1148,Morice,2003,15395,23181,0,3209,13332,6640,0
1149,Morice,2004,11399,22512,0,1354,17706,3452,0
1150,Morice,2005,11301,13158,0,1798,9204,2156,0
1151,Morice,2006,13151,8664,0,935,5748,1981,0
1152,Morice,2007,30773,8184,0,584,5282,2319,0
1153,Morice,2008,12564,10994,0,536,6183,4275,0
1154,Morice,2009,21038,18962,0,628,11399,6934,0
1155,Morice,2010,10584,27405,0,1158,18492,7756,0
1156,Morice,2011,6091,26855,0,1878,20682,4295,0
1157,Morice,2012,5663,18022,0,2101,11452,4469,0
1158,Morice,2013,7079,20076,0,1163,11918,6995,0
1159,Morice,2014,13129,25263,0,1210,18655,5398,0
1160,Morice,2015,21520,38026,0,1895,14394,21737,0
1161,Morice,2016,20240,64453,0,1462,57965,5026,0
1162,Morice,2017,15953,25573,0,5887,13402,6284,NA
1182,Motase,1970,1600,5706,1328,4318,60,NA,NA
1199,Motase,1987,1500,1194,12,407,776,0,NA
1200,Motase,1988,100,1276,64,699,513,NA,NA
1205,Motase,1993,400,875,23,329,523,0,0
1208,Motase,1996,100,1384,64,818,502,0,0
1209,Motase,1997,220,753,129,453,172,0,0
1210,Motase,1998,500,1863,71,155,1637,0,0
1211,Motase,1999,666,1942,24,1475,442,0,0
1212,Motase,2000,726,831,232,399,201,0,0
1213,Motase,2001,457,363,63,181,120,0,0
1214,Motase,2002,171,493,28,108,357,0,0
1215,Motase,2003,2059,408,17,322,70,0,0
1216,Motase,2004,498,292,51,63,179,0,0
1217,Motase,2005,269,539,10,161,368,0,NA
1218,Motase,2006,143,1136,25,332,779,NA,NA
1223,Motase,2011,911,732,71,180,481,0,0
1226,Motase,2014,609,1072,35,174,864,0,0
1227,Motase,2015,278,871,27,778,65,0,0
1228,Motase,2016,538,461,122,59,280,0,0
1229,Motase,2017,419,476,9,252,215,0,NA
1230,Motase,2018,301,249,40,193,16,NA,NA
1243,Pinkut,1960,33541,101972,18868,66438,16666,0,0
1244,Pinkut,1961,58588,65513,9597,34543,21373,0,0
1245,Pinkut,1962,37326,73333,3795,23977,45560,0,0
1246,Pinkut,1963,63955,100916,8897,47164,44855,0,0
1247,Pinkut,1964,119866,38729,1604,7017,30108,0,0
1248,Pinkut,1965,31037,62657,2105,43984,16567,0,0
1249,Pinkut,1966,21463,69002,10092,33772,25138,0,0
1250,Pinkut,1967,31742,147197,6048,37423,103726,0,0
1251,Pinkut,1968,22284,158461,1802,35377,121281,0,0
1252,Pinkut,1969,43526,340653,21632,132247,186774,0,0
1253,Pinkut,1970,28978,166471,23861,95397,47213,0,0
1254,Pinkut,1971,30443,242245,29422,146105,66718,0,0
1255,Pinkut,1972,73911,174984,17804,39554,117627,0,0
1256,Pinkut,1973,100183,191315,18548,102875,69892,0,0
1257,Pinkut,1974,96197,67094,4343,21321,41430,0,0
1258,Pinkut,1975,97499,488342,23980,330254,134109,0,0
1259,Pinkut,1976,50192,158639,11962,35334,111343,0,0
1260,Pinkut,1977,89757,1393599,28634,860281,504684,0,0
1261,Pinkut,1978,27964,343749,42002,103259,198487,0,0
1262,Pinkut,1979,135745,361362,10060,116884,234418,0,0
1263,Pinkut,1980,57655,1283688,56587,432943,794159,0,0
1264,Pinkut,1981,256141,732951,36486,413127,283338,0,0
1265,Pinkut,1982,122052,645099,15317,155387,474395,0,0
1266,Pinkut,1983,112845,647421,21684,366009,259728,0,0
1267,Pinkut,1984,219484,1167168,231004,636820,299345,0,0
1268,Pinkut,1985,216568,472438,18132,160951,293355,0,0
1269,Pinkut,1986,132930,863745,22375,147712,693658,0,0
1270,Pinkut,1987,302166,530265,15615,254286,260365,0,0
1271,Pinkut,1988,173803,1100386,114273,221845,764268,0,0
1272,Pinkut,1989,106908,768314,35477,422529,310308,0,0
1273,Pinkut,1990,127100,836737,24630,108663,703445,0,0
1274,Pinkut,1991,224976,1636743,53283,761504,821956,0,0
1275,Pinkut,1992,198087,1919756,154093,1111623,654041,0,0
1276,Pinkut,1993,251783,380789,12013,206451,162325,0,0
1277,Pinkut,1994,136482,29517,1607,11420,16490,0,0
1278,Pinkut,1995,243069,220853,9085,136540,75228,0,0
1279,Pinkut,1996,210609,941956,31033,621691,289232,0,0
1280,Pinkut,1997,120916,117809,2594,24595,90621,0,0
1281,Pinkut,1998,62357,343017,5604,99070,238343,0,0
1282,Pinkut,1999,128989,116928,2696,77655,36577,0,0
1283,Pinkut,2000,130236,220104,20788,125406,73910,0,0
1284,Pinkut,2001,99116,232810,1929,93562,137320,0,0
1285,Pinkut,2002,95249,818809,24378,395481,398950,0,0
1286,Pinkut,2003,147068,136507,5513,26122,104872,0,0
1287,Pinkut,2004,102160,543995,9764,390180,144052,0,0
1288,Pinkut,2005,128931,119645,4873,42737,72036,0,0
1289,Pinkut,2006,174654,259041,5158,99049,154834,0,0
1290,Pinkut,2007,170675,609553,21948,135630,451974,0,0
1291,Pinkut,2008,139316,97667,4997,81682,10987,0,0
1292,Pinkut,2009,130986,63300,1296,10749,51255,0,0
1293,Pinkut,2010,119148,384216,16108,283613,84496,0,0
1294,Pinkut,2011,151768,189736,17273,75663,96801,0,0
1295,Pinkut,2012,110012,167788,1696,24920,141172,0,0
1296,Pinkut,2013,30151,19273,401,5530,13342,0,0
1297,Pinkut,2014,78550,385922,7172,253470,78053,47228,869
1298,Pinkut,2015,66027,150099,1949,17562,126243,4345,0
1299,Pinkut,2016,69563,251656,7604,101721,131215,11115,0
1300,Pinkut,2017,92963,363470,3055,119919,240497,0,NA
1340,Slamgeesh,2000,949,472,0,405,67,0,0
1341,Slamgeesh,2001,855,374,0,267,108,0,0
1342,Slamgeesh,2002,398,600,0,431,170,0,0
1343,Slamgeesh,2003,430,734,0,678,56,0,0
1344,Slamgeesh,2004,293,267,0,224,43,0,0
1345,Slamgeesh,2005,216,380,0,173,207,0,0
1346,Slamgeesh,2006,331,1055,0,828,227,0,0
1347,Slamgeesh,2007,366,1194,0,908,286,0,0
1348,Slamgeesh,2008,150,1167,0,1143,25,0,0
1349,Slamgeesh,2009,161,227,0,99,127,0,0
1350,Slamgeesh,2010,740,867,0,509,358,0,0
1351,Slamgeesh,2011,687,1528,0,1433,95,0,0
1352,Slamgeesh,2012,940,469,0,378,91,0,0
1353,Slamgeesh,2013,93,449,0,363,86,0,0
1354,Slamgeesh,2014,401,461,0,345,116,0,0
1355,Slamgeesh,2015,1281,552,0,463,89,0,0
1356,Slamgeesh,2016,267,474,0,356,118,0,0
1357,Slamgeesh,2017,366,618,0,473,145,0,NA
1358,Slamgeesh,2018,333,671,0,580,91,NA,NA
1377,Sustut,1960,100,2943,0,176,2752,15,0
1378,Sustut,1961,500,916,0,780,99,36,0
1379,Sustut,1962,500,580,0,28,242,310,0
1380,Sustut,1963,500,2532,0,69,2074,389,0
1381,Sustut,1964,400,3736,0,588,2604,544,0
1382,Sustut,1965,2100,4504,0,738,3646,120,0
1383,Sustut,1966,50,2134,0,1034,803,297,0
1384,Sustut,1967,100,3190,0,228,1992,971,0
1385,Sustut,1968,1100,7094,0,565,6503,26,NA
1390,Sustut,1973,3300,73,NA,20,4,50,0
1391,Sustut,1974,75,494,0,1,332,161,0
1404,Sustut,1987,900,11832,0,1180,9811,840,0
1405,Sustut,1988,550,9665,0,2782,5631,1251,0
1406,Sustut,1989,360,10338,0,1597,8382,359,NA
1418,Sustut,2001,1257,3238,0,673,2001,565,0
1419,Sustut,2002,988,4480,0,567,3783,130,0
1420,Sustut,2003,4992,2132,0,1073,871,188,0
