Stock,Year,Escapement,Return,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,,,,,,
Chilkoot,2013,46329,81819,0,5,9654,68621,3539,0,NA,,,,,,
Chilkoot,2014,105713,305345,56,0,48709,252286,4293,0,NA,,,,,,
Chilkoot,2015,71515,109360,117,128,37881,70545,689,0,NA,,,,,,
Chilkoot,2016,86721,138773,0,0,13798,122942,2032,NA,NA,,,,,,
Chilkoot,2017,43098,NA,0,450,28730,184640,NA,NA,NA,,,,,,
Chilkoot,2018,85463,NA,0,0,43122,NA,NA,NA,NA,,,,,,
Chilkoot,2019,140378,NA,0,14,NA,NA,NA,NA,NA,,,,,,
Chilkoot,2020,60218,NA,0,NA,NA,NA,NA,NA,NA,,,,,,
Chilkoot,2021,98672,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
Chilkoot,2022,57176,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
