"","stock","broodyear","run","spawners","recruits","r3","r4","r5","r6","r7"
"1","Upper Nass River",1960,NA,NA,NA,NA,NA,NA,NA,NA
"2","Upper Nass River",1961,NA,NA,NA,NA,NA,NA,NA,NA
"3","Upper Nass River",1962,NA,NA,NA,NA,NA,NA,NA,NA
"4","Upper Nass River",1963,NA,NA,NA,NA,NA,NA,NA,NA
"5","Upper Nass River",1964,NA,NA,NA,NA,NA,NA,NA,NA
"6","Upper Nass River",1965,NA,NA,NA,NA,NA,NA,NA,NA
"7","Upper Nass River",1966,NA,NA,NA,NA,NA,NA,NA,NA
"8","Upper Nass River",1967,NA,NA,NA,NA,NA,NA,NA,NA
"9","Upper Nass River",1968,NA,NA,NA,NA,NA,NA,NA,NA
"10","Upper Nass River",1969,NA,NA,NA,NA,NA,NA,NA,NA
"11","Upper Nass River",1970,NA,NA,NA,NA,NA,NA,NA,NA
"12","Upper Nass River",1971,NA,NA,NA,NA,NA,NA,NA,NA
"13","Upper Nass River",1972,NA,NA,NA,NA,NA,NA,NA,NA
"14","Upper Nass River",1973,NA,NA,NA,NA,NA,NA,NA,NA
"15","Upper Nass River",1974,NA,NA,NA,NA,NA,NA,NA,NA
"16","Upper Nass River",1975,NA,NA,NA,NA,NA,NA,NA,NA
"17","Upper Nass River",1976,NA,NA,NA,NA,NA,NA,NA,0
"18","Upper Nass River",1977,NA,NA,NA,NA,NA,NA,65.348570884,0
"19","Upper Nass River",1978,NA,NA,NA,NA,NA,609.92,31.577142594,0
"20","Upper Nass River",1979,NA,NA,NA,NA,1176.274285442,294.72,37.919999684,NA
"21","Upper Nass River",1980,NA,NA,NA,54.457143674,568.388571297,353.92,NA,NA
"22","Upper Nass River",1981,NA,NA,NA,26.314286109,682.559999842,NA,NA,NA
"23","Upper Nass River",1982,NA,NA,NA,31.600000474,NA,NA,NA,NA
"24","Upper Nass River",1983,1906,392,NA,NA,NA,NA,NA,NA
"25","Upper Nass River",1984,921,229,NA,NA,NA,NA,NA,NA
"26","Upper Nass River",1985,1106,392,NA,NA,NA,NA,NA,NA
"27","Upper Nass River",1986,NA,NA,NA,NA,NA,NA,NA,NA
"28","Upper Nass River",1987,NA,NA,NA,NA,NA,NA,NA,NA
"29","Upper Nass River",1988,NA,NA,NA,NA,NA,NA,NA,NA
"30","Upper Nass River",1989,NA,NA,NA,NA,NA,NA,NA,NA
"31","Upper Nass River",1990,NA,NA,NA,NA,NA,NA,NA,NA
"32","Upper Nass River",1991,NA,NA,NA,NA,NA,NA,NA,NA
"33","Upper Nass River",1992,NA,NA,NA,NA,NA,NA,NA,NA
"34","Upper Nass River",1993,NA,NA,NA,NA,NA,NA,NA,NA
"35","Upper Nass River",1994,NA,NA,NA,NA,NA,NA,NA,NA
"36","Upper Nass River",1995,NA,NA,NA,NA,NA,NA,NA,NA
"37","Upper Nass River",1996,NA,NA,NA,NA,NA,NA,NA,0
"38","Upper Nass River",1997,NA,NA,NA,NA,NA,NA,36.239999698,0
"39","Upper Nass River",1998,NA,NA,NA,NA,NA,338.24,196.319998364,0
"40","Upper Nass River",1999,NA,NA,NA,NA,652.319999849,1832.32,139.577141694,0
"41","Upper Nass River",2000,NA,NA,4900.485713639,30.200000453,3533.759999182,1302.72,33.805714004,0
"42","Upper Nass River",2001,NA,NA,3023.737144461,163.600002454,2512.388570847,315.52,32.22857116,0
"43","Upper Nass River",2002,NA,NA,1033.091430113,116.314287459,608.502857002,300.8,7.474285652,0
"44","Upper Nass River",2003,1057,275,697.108571558,28.171428994,580.11428558,69.76,19.062856984,0
"45","Upper Nass River",2004,5726,1240,350.560000278,26.85714326,134.537142826,177.92,11.245714192,0
"46","Upper Nass River",2005,4071,1516,454.560000012,6.228571522,343.131428492,104.96,0.239999998,0
"47","Upper Nass River",2006,986,356,220.994285902,15.885714524,202.422857096,2.24,0.445714282,0
"48","Upper Nass River",2007,940,180,62.148571199,9.371428712,4.319999999,4.16,44.297142488,0
"49","Upper Nass River",2008,218,113,460.782856818,0.200000003,8.022857141,413.44,39.119999674,0
"50","Upper Nass River",2009,556,225,1207.822856589,0.371428577,797.348571244,365.12,44.982856768,0
"51","Upper Nass River",2010,328,186,1305.737142041,36.914286268,704.159999837,419.84,144.822855936,0
"52","Upper Nass River",2011,7,4,2206.108571629,32.600000489,809.691428384,1351.68,12.137142756,0
"53","Upper Nass River",2012,13,6,2757.679999958,37.485714848,2606.811427968,113.28,0.102857142,0
"54","Upper Nass River",2013,1292,554,413.931429716,120.685716096,218.468571378,0.96,73.817142242,0
"55","Upper Nass River",2014,1141,605,718.205714293,10.114285866,1.851428571,688.96,17.279999856,0
"56","Upper Nass River",2015,1312,550,1511.639999514,0.085714287,1328.708571121,161.28,21.565714106,0
"57","Upper Nass River",2016,4224,2602,NA,61.514286637,311.039999928,201.28,11.14285705,NA
"58","Upper Nass River",2017,354,237,NA,14.400000216,388.182857053,104,NA,NA
"59","Upper Nass River",2018,3,2,NA,17.971428841,200.571428525,NA,NA,NA
"60","Upper Nass River",2019,2153,1295,NA,9.285714425,NA,NA,NA,NA
"61","Upper Nass River",2020,504,351,NA,NA,NA,NA,NA,NA
"62","Upper Nass River",2021,629,356,NA,NA,NA,NA,NA,NA
"63","Upper Nass River",2022,325,208,NA,NA,NA,NA,NA,NA
"64","Lower Nass-Portland",1960,NA,NA,NA,NA,NA,NA,NA,NA
"65","Lower Nass-Portland",1961,NA,NA,NA,NA,NA,NA,NA,NA
"66","Lower Nass-Portland",1962,NA,NA,NA,NA,NA,NA,NA,NA
"67","Lower Nass-Portland",1963,NA,NA,NA,NA,NA,NA,NA,NA
"68","Lower Nass-Portland",1964,NA,NA,NA,NA,NA,NA,NA,NA
"69","Lower Nass-Portland",1965,NA,NA,NA,NA,NA,NA,NA,NA
"70","Lower Nass-Portland",1966,NA,NA,NA,NA,NA,NA,NA,NA
"71","Lower Nass-Portland",1967,NA,NA,NA,NA,NA,NA,NA,NA
"72","Lower Nass-Portland",1968,NA,NA,NA,NA,NA,NA,NA,NA
"73","Lower Nass-Portland",1969,NA,NA,NA,NA,NA,NA,NA,NA
"74","Lower Nass-Portland",1970,NA,NA,NA,NA,NA,NA,NA,NA
"75","Lower Nass-Portland",1971,NA,NA,NA,NA,NA,NA,NA,NA
"76","Lower Nass-Portland",1972,NA,NA,NA,NA,NA,NA,NA,NA
"77","Lower Nass-Portland",1973,NA,NA,NA,NA,NA,NA,NA,NA
"78","Lower Nass-Portland",1974,NA,NA,NA,NA,NA,NA,NA,NA
"79","Lower Nass-Portland",1975,NA,NA,NA,NA,NA,NA,NA,0
"80","Lower Nass-Portland",1976,NA,NA,NA,NA,NA,NA,0,0
"81","Lower Nass-Portland",1977,NA,NA,NA,NA,NA,0,0,0
"82","Lower Nass-Portland",1978,NA,NA,NA,NA,3677.795,0,0,0
"83","Lower Nass-Portland",1979,NA,NA,7390.064,2407.284,4982.78,0,0,0
"84","Lower Nass-Portland",1980,NA,NA,19198.971,3261.456,15937.515,0,0,0
"85","Lower Nass-Portland",1981,NA,NA,24811.468,10431.828,14379.64,0,0,0
"86","Lower Nass-Portland",1982,6079,2701,12150.963,9412.128,2738.835,0,0,0
"87","Lower Nass-Portland",1983,8236,5402,4360.917,1792.692,2568.225,0,0,0
"88","Lower Nass-Portland",1984,26343,15665,4696.34,1681.02,3015.32,0,0,0
"89","Lower Nass-Portland",1985,23768,16205,6375.644,1973.664,4401.98,0,0,0
"90","Lower Nass-Portland",1986,4527,2701,4350.236,2881.296,1468.94,0,0,0
"91","Lower Nass-Portland",1987,4245,2701,2587.728,961.488,1626.24,0,0,0
"92","Lower Nass-Portland",1988,4984,2701,2004.013,1064.448,939.565,0,0,0
"93","Lower Nass-Portland",1989,7276,3511,2333.188,614.988,1718.2,0,0,0
"94","Lower Nass-Portland",1990,2428,1431,4871.48,1124.64,3746.84,0,0,0
"95","Lower Nass-Portland",1991,2688,1431,23347.052,12197.16,11149.892,0,0,0
"96","Lower Nass-Portland",1992,1553,810,8571.697,1463.108,7108.589,0,0,0
"97","Lower Nass-Portland",1993,2840,1080,47155.04,3878.411,43276.629,0,0,0
"98","Lower Nass-Portland",1994,15944,7097,13990.275,3060.915,10929.36,0,0,0
"99","Lower Nass-Portland",1995,12613,4862,34802.58,13250.64,21551.94,0,0,0
"100","Lower Nass-Portland",1996,10987,3700,10305.948,7338.06,2967.888,0,0,0
"101","Lower Nass-Portland",1997,47091,15480,19760.764,3456.112,16304.652,0,0,0
"102","Lower Nass-Portland",1998,24180,10448,1516.66,894.348,622.312,0,0,0
"103","Lower Nass-Portland",1999,28890,8303,24986.587,2285.688,22700.899,0,0,0
"104","Lower Nass-Portland",2000,6424,2512,12608.246,6896.101,5712.145,0,0,0
"105","Lower Nass-Portland",2001,17199,5595,15728.854,4768.855,10959.999,0,0,0
"106","Lower Nass-Portland",2002,2908,899,15734.601,11921.001,3813.6,0,0,0
"107","Lower Nass-Portland",2003,29597,5866,39741.54,5720.4,34021.14,0,0,0
"108","Lower Nass-Portland",2004,10481,2298,23117.91,15284.86,7833.05,0,0,0
"109","Lower Nass-Portland",2005,22881,7074,36705.919,10966.27,25739.649,0,0,0
"110","Lower Nass-Portland",2006,9534,2809,18744.886,13083.351,5661.535,0,0,0
