cu_name,adult_return_year,total_returns,total_escape,recruit_abundance,f_age,o_age,total_age,brood_year
Great Central Lake,1977,1006504,209810.3604,18705,1,1,3,1974
Great Central Lake,1977,1006504,209810.3604,481562,1,2,4,1973
Great Central Lake,1977,1006504,209810.3604,4496,2,1,4,1973
Great Central Lake,1977,1006504,209810.3604,363952,1,3,5,1972
Great Central Lake,1977,1006504,209810.3604,97639,2,2,5,1972
Great Central Lake,1977,1006504,209810.3604,NA,1,4,6,1971
Great Central Lake,1977,1006504,209810.3604,40150,2,3,6,1971
Great Central Lake,1977,1006504,209810.3604,NA,0,2,3,1974
Great Central Lake,1977,1006504,209810.3604,NA,0,3,4,1973
Great Central Lake,1977,1006504,209810.3604,NA,3,1,5,1972
Great Central Lake,1977,1006504,209810.3604,NA,3,2,6,1971
Great Central Lake,1977,1006504,209810.3604,NA,4,1,6,1971
Great Central Lake,1977,1006504,209810.3604,NA,1,5,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,2,4,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,3,3,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,4,2,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,4,3,8,1969
Great Central Lake,1977,1006504,209810.3604,NA,0,1,2,1975
Great Central Lake,1978,259931,84373.10195,32646,1,1,3,1975
Great Central Lake,1978,259931,84373.10195,63793,1,2,4,1974
Great Central Lake,1978,259931,84373.10195,2739,2,1,4,1974
Great Central Lake,1978,259931,84373.10195,112271,1,3,5,1973
Great Central Lake,1978,259931,84373.10195,35755,2,2,5,1973
Great Central Lake,1978,259931,84373.10195,NA,1,4,6,1972
Great Central Lake,1978,259931,84373.10195,12727,2,3,6,1972
Great Central Lake,1978,259931,84373.10195,NA,0,2,3,1975
Great Central Lake,1978,259931,84373.10195,NA,0,3,4,1974
Great Central Lake,1978,259931,84373.10195,NA,3,1,5,1973
Great Central Lake,1978,259931,84373.10195,NA,3,2,6,1972
Great Central Lake,1978,259931,84373.10195,NA,4,1,6,1972
Great Central Lake,1978,259931,84373.10195,NA,1,5,7,1971
Great Central Lake,1978,259931,84373.10195,NA,2,4,7,1971
Great Central Lake,1978,259931,84373.10195,NA,3,3,7,1971
Great Central Lake,1978,259931,84373.10195,NA,4,2,7,1971
Great Central Lake,1978,259931,84373.10195,NA,4,3,8,1970
Great Central Lake,1978,259931,84373.10195,NA,0,1,2,1976
Great Central Lake,1979,804958,247475.4573,28765,1,1,3,1976
Great Central Lake,1979,804958,247475.4573,457127,1,2,4,1975
Great Central Lake,1979,804958,247475.4573,3841,2,1,4,1975
Great Central Lake,1979,804958,247475.4573,226783,1,3,5,1974
Great Central Lake,1979,804958,247475.4573,57683,2,2,5,1974
Great Central Lake,1979,804958,247475.4573,NA,1,4,6,1973
Great Central Lake,1979,804958,247475.4573,30759,2,3,6,1973
Great Central Lake,1979,804958,247475.4573,NA,0,2,3,1976
Great Central Lake,1979,804958,247475.4573,NA,0,3,4,1975
Great Central Lake,1979,804958,247475.4573,NA,3,1,5,1974
Great Central Lake,1979,804958,247475.4573,NA,3,2,6,1973
Great Central Lake,1979,804958,247475.4573,NA,4,1,6,1973
Great Central Lake,1979,804958,247475.4573,NA,1,5,7,1972
Great Central Lake,1979,804958,247475.4573,NA,2,4,7,1972
Great Central Lake,1979,804958,247475.4573,NA,3,3,7,1972
Great Central Lake,1979,804958,247475.4573,NA,4,2,7,1972
Great Central Lake,1979,804958,247475.4573,NA,4,3,8,1971
Great Central Lake,1979,804958,247475.4573,NA,0,1,2,1977
Great Central Lake,1980,678372,246041.4109,18325,1,1,3,1977
Great Central Lake,1980,678372,246041.4109,305836,1,2,4,1976
Great Central Lake,1980,678372,246041.4109,2076,2,1,4,1976
