Stock,Brood Year,Spawners,,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,2.4,3.3,Run,Return,Yield,R/S
Kenai,1968,"115,545",,,,0,"169,641",894,0,"657,176","77,265",0,"1,456","53,737",0,0,0,"485,350","960,169","844,624",8.3
Kenai,1969,"72,901",,0,894,0,"37,929","7,740",0,"209,347","94,190",0,"10,719","66,771","3,356",0,0,"1,374,607","430,947","358,046",5.9
Kenai,1970,"101,794",,0,"1,548",0,"65,999","6,143",0,"195,322","136,422",0,0,"136,620","8,869",0,0,"2,268,567","550,923","449,129",5.4
Kenai,1971,"406,714",,0,"4,472",0,"57,003","10,019",0,"338,382","299,954",0,"10,340","266,227",0,0,0,"2,096,342","986,397","579,683",2.4
Kenai,1972,"431,058",,0,"5,738",0,"564,078","17,738",0,"1,656,310","182,117",0,"1,140","120,729",0,0,0,"797,838","2,547,851","2,116,793",5.9
Kenai,1973,"507,072",,0,"8,966",0,"153,573",0,0,"1,825,724","87,313",0,0,"50,410",0,0,0,"1,481,394","2,125,986","1,618,914",4.2
Kenai,1974,"209,836",,0,0,0,"59,726","1,710",0,"488,947","94,517",0,0,"143,167",0,0,0,"1,176,475","788,067","578,231",3.8
Kenai,1975,"184,262",,0,0,0,"162,573",0,0,"623,465","209,203",0,0,"60,134",0,0,0,"2,766,654","1,055,374","871,112",5.7
Kenai,1976,"507,440",,0,"1,391",0,"457,669","6,092",0,"804,077","95,057","1,142","2,930","136,830",0,888,0,"3,982,111","1,506,075","998,635",3
Kenai,1977,"951,038",,0,"41,798",0,"212,814","3,251",0,"2,421,422","67,322",0,"18,530","347,108",0,0,607,"1,287,189","3,112,852","2,161,814",3.3
Kenai,1978,"511,781",,0,0,0,"136,855",0,0,"3,251,291","67,268",0,"38,048","285,819","6,343",0,0,"2,498,147","3,785,623","3,273,842",7.4
Kenai,1979,"373,810",,0,"1,295","29,452","259,220","4,699",0,"566,002","149,740",0,"11,224","293,135","4,813","2,126",0,"2,946,941","1,321,707","947,897",3.5
Kenai,1980,"615,382",,0,"3,655","18,199","218,992","2,614",691,"1,599,089","271,732",0,"14,945","545,092",0,0,0,"9,396,553","2,675,007","2,059,625",4.3
Kenai,1981,"535,524",,825,0,"7,824","301,607","2,220",0,"1,245,372","295,444",0,"6,783","605,745",0,0,0,"6,055,839","2,465,818","1,930,294",4.6
Kenai,1982,"755,672",,"4,418","1,394","36,636","804,160","1,950","2,978","7,663,538","298,241",0,"23,317","745,085",0,"9,482",0,"6,662,138","9,591,200","8,835,528",12.7
Kenai,1983,"792,765",,"1,216",0,"22,901","796,367",0,0,"4,465,792","262,937",0,"49,750","3,879,711",0,"10,975",0,"3,228,788","9,489,648","8,696,883",12
Kenai,1984,"446,397",,0,0,"2,383","547,677","4,518",0,"1,664,505","704,461","7,674","19,966","907,035","6,302",613,0,"2,195,918","3,865,134","3,418,737",8.7
Kenai,1985,"573,836",,0,"4,130","4,862","314,942","20,065",0,"1,570,509","298,317",0,"4,884","374,574",685,0,0,"8,255,121","2,592,968","2,019,132",4.5
Kenai,1986,"555,207",,"1,727","4,959","15,706","391,092","3,222","2,048","840,180","141,266",0,"11,419","755,024",0,"8,199",0,"4,446,321","2,174,842","1,619,635",3.9
Kenai,1987,"2,011,772",,0,"5,664","48,870","776,685","4,549",0,"7,024,019","301,848",0,"105,399","2,096,053","1,114","14,372",0,"3,906,522","10,378,573","8,366,801",5.2
Kenai,1988,"1,213,047",,408,"1,156",0,"151,779","7,105",0,"1,491,124","292,377",596,"21,963","576,976","2,873","4,586",0,"2,653,395","2,550,942","1,337,895",2.1
Kenai,1989,"2,026,638",,"3,927",0,"16,803","352,264","77,802",0,"2,480,626","558,602","1,416","17,311","955,698",0,"16,440",0,"3,696,870","4,480,888","2,454,250",2.2
Kenai,1990,"794,753",,"1,133","3,457","5,947","223,830","13,944",0,"778,479","191,364",0,"10,973","284,029","2,423","3,405",0,"4,611,345","1,518,983","724,230",1.9
Kenai,1991,"727,159",,"1,602","4,371","10,371","669,963","22,972",0,"2,764,755","252,038","1,839","17,583","690,122","2,928","2,958","3,030","1,902,582","4,444,531","3,717,372",6.1
Kenai,1992,"1,207,382",,0,"2,651","8,468","345,482","10,423",0,"3,443,710","140,781",0,"19,993","293,962","2,775","4,497",0,"2,985,521","4,272,741","3,065,359",3.5
Kenai,1993,"997,730",,0,0,"14,950","289,049","7,055",0,"816,428","196,881","1,642","12,463","330,626","14,864","6,306",0,"1,815,411","1,690,264","692,534",1.7
Kenai,1994,"1,309,695",,0,"1,762",0,"484,193","77,318",0,"1,727,679","439,434","1,822","17,644","291,755","9,532",0,"2,322","2,190,577","3,053,461","1,743,766",2.3
Kenai,1995,"776,881",,0,"3,402","8,637","429,237","16,262",0,"1,039,520","154,550",0,"15,062","230,962",0,"2,266",610,"3,467,716","1,900,509","1,123,628",2.4
Kenai,1996,"963,125",,0,0,"13,177","254,848","26,314",0,"1,533,117","158,035",0,"25,387","246,833","2,554","2,402",0,"4,440,636","2,262,667","1,299,542",2.3
Kenai,1997,"1,365,746",,0,"1,765",0,"230,482","16,857",0,"2,142,070","327,237","1,220","16,829","873,782",0,"10,985","6,095","5,706,183","3,627,321","2,261,575",2.7
Kenai,1998,"929,090",,0,"3,740","3,017","702,252","12,437",0,"2,711,407","314,379","1,356","30,292","677,643","6,352","3,477",0,"6,110,186","4,466,351","3,537,261",4.8
Kenai,1999,"949,276",,"1,833",0,"11,713","499,505","4,233",0,"3,958,012","426,787",0,"18,160","807,764","14,996","10,770","2,267","2,834,218","5,756,040","4,806,764",6.1
Kenai,2000,"696,899",,"4,396",634,"19,641","562,922","7,454",0,"4,988,691","123,758",0,"66,888","1,247,623","2,267","23,713","4,671","3,592,804","7,052,657","6,355,758",10.1
Kenai,2001,"738,229",,0,0,"12,693","133,865","4,838",0,"1,096,842","103,449",0,"52,096","279,161","4,671","3,513",0,"2,066,731","1,691,128","952,899",2.3
Kenai,2002,"1,126,642",,"1,906",38,"13,037","280,304","10,770",0,"2,830,770","156,287",0,"94,863","225,894",0,"3,406",0,"2,433,103","3,617,275","2,490,633",3.2
Kenai,2003,"1,402,340",,0,0,"4,671","213,053","23,713",0,"1,257,606","149,425",0,"20,925","236,011","3,406",0,0,"3,571,675","1,908,809","506,469",1.4
Kenai,2004,"1,690,547",,0,0,"7,234","313,523","14,674",0,"1,766,919","239,417",0,"8,215","852,202","4,286","7,967","15,321","6,128,504","3,229,758","1,539,211",1.9
Kenai,2005,"1,654,003",,0,0,"3,406","149,149","3,406",0,"1,587,252","167,154",0,"23,288","2,796,436",0,0,0,"4,726,621","4,730,093","3,076,090",2.9
Kenai,2006,"1,892,090",,0,"7,056","4,286","835,415","100,364",0,"2,386,440","333,391",0,"78,935","1,161,804",0,"20,893",0,"3,602,249","4,928,582","3,036,492",2.6
Kenai,2007,"964,261",,"4,286","8,215",0,"487,829","69,865",0,"2,132,179","733,099",0,"20,893","870,663",0,0,"4,082","3,278,984","4,331,112","3,366,851",4.5
Kenai,2008,"708,833",,0,"7,967",0,"586,574","11,344",0,"1,973,672","259,722",0,0,"538,069",0,0,0,"3,872,577","3,377,348","2,668,515",4.8
Kenai,2009,"848,117",,0,"22,688",0,"435,512","14,049",0,"2,166,785","215,122",0,"20,995","1,082,101",0,"7,217",0,"3,491,861","3,964,469","3,116,352",4.7
Kenai,2010,"1,038,323",,0,"6,844","14,461","315,514","16,989",0,"2,009,131","208,301",0,"17,006","1,059,388",0,"27,149","1,417","2,901,136","3,676,201","2,637,877",3.5
Kenai,2011,"1,280,733",,36,"7,925",0,"534,467","17,440",0,"2,087,270","135,923",0,"52,721","1,292,976","4,314","7,689",823,"1,663,333","4,141,584","2,860,851",3.2
Kenai,2012,"1,212,923",,31,111,0,"178,759","5,334",0,"1,239,740","87,687",0,"24,607","68,339",0,0,0,"3,632,385","1,604,608","391,685",1.3
