stock_broodyr_age,production_stock_name,production_stock_code,broodyr,returnyr,age,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,num_recruits,hatchery_supplementation,active_spawning_channel,major_spawn_events,run_size_type,age_comp_method,stock_ID_quality,big_bar_flag,exclude_SR_modelling_spawners,exclude_SR_modelling_recruits
Early Stuart_1948_21,Early Stuart,1,1948,1950,21,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_31,Early Stuart,1,1948,1951,31,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_32,Early Stuart,1,1948,1951,32,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_41,Early Stuart,1,1948,1952,41,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_42,Early Stuart,1,1948,1952,42,20960,10859,NA,NA,NA,179412,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_43,Early Stuart,1,1948,1952,43,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_51,Early Stuart,1,1948,1953,51,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_52,Early Stuart,1,1948,1953,52,20960,10859,NA,NA,NA,18741,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_53,Early Stuart,1,1948,1953,53,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_62,Early Stuart,1,1948,1954,62,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_63,Early Stuart,1,1948,1954,63,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_64,Early Stuart,1,1948,1954,64,20960,10859,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1948_72,Early Stuart,1,1948,1955,72,20960,10859,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1949_21,Early Stuart,1,1949,1951,21,582228,168458,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_31,Early Stuart,1,1949,1952,31,582228,168458,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_32,Early Stuart,1,1949,1952,32,582228,168458,NA,NA,NA,6218,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_41,Early Stuart,1,1949,1953,41,582228,168458,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_42,Early Stuart,1,1949,1953,42,582228,168458,NA,NA,NA,1029437,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_43,Early Stuart,1,1949,1953,43,582228,168458,NA,NA,NA,42,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_51,Early Stuart,1,1949,1954,51,582228,168458,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_52,Early Stuart,1,1949,1954,52,582228,168458,NA,NA,NA,1271,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_53,Early Stuart,1,1949,1954,53,582228,168458,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1949_62,Early Stuart,1,1949,1955,62,582228,168458,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1949_63,Early Stuart,1,1949,1955,63,582228,168458,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1949_64,Early Stuart,1,1949,1955,64,582228,168458,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1949_72,Early Stuart,1,1949,1956,72,582228,168458,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_21,Early Stuart,1,1950,1952,21,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_31,Early Stuart,1,1950,1953,31,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_32,Early Stuart,1,1950,1953,32,59443,25658,NA,NA,NA,579,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_41,Early Stuart,1,1950,1954,41,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_42,Early Stuart,1,1950,1954,42,59443,25658,NA,NA,NA,240545,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_43,Early Stuart,1,1950,1954,43,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_51,Early Stuart,1,1950,1955,51,59443,25658,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1950_52,Early Stuart,1,1950,1955,52,59443,25658,NA,NA,NA,542,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1950_53,Early Stuart,1,1950,1955,53,59443,25658,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1950_62,Early Stuart,1,1950,1956,62,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_63,Early Stuart,1,1950,1956,63,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_64,Early Stuart,1,1950,1956,64,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1950_72,Early Stuart,1,1950,1957,72,59443,25658,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_21,Early Stuart,1,1951,1953,21,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_31,Early Stuart,1,1951,1954,31,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_32,Early Stuart,1,1951,1954,32,61041,29785,NA,NA,NA,9,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_41,Early Stuart,1,1951,1955,41,61041,29785,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1951_42,Early Stuart,1,1951,1955,42,61041,29785,NA,NA,NA,158428,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1951_43,Early Stuart,1,1951,1955,43,61041,29785,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
