stock_broodyr_age,production_stock_name,production_stock_code,broodyr,returnyr,age,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,num_recruits,hatchery_supplementation,active_spawning_channel,major_spawn_events,run_size_type,age_comp_method,stock_ID_quality,big_bar_flag,exclude_SR_modelling_spawners,exclude_SR_modelling_recruits
Early Stuart_1951_51,Early Stuart,1,1951,1956,51,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_52,Early Stuart,1,1951,1956,52,61041,29785,NA,NA,NA,15217,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_53,Early Stuart,1,1951,1956,53,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_62,Early Stuart,1,1951,1957,62,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_63,Early Stuart,1,1951,1957,63,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_64,Early Stuart,1,1951,1957,64,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1951_72,Early Stuart,1,1951,1958,72,61041,29785,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_21,Early Stuart,1,1952,1954,21,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_31,Early Stuart,1,1952,1955,31,33582,15484,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1952_32,Early Stuart,1,1952,1955,32,33582,15484,NA,NA,NA,28,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1952_41,Early Stuart,1,1952,1956,41,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_42,Early Stuart,1,1952,1956,42,33582,15484,NA,NA,NA,78012,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_43,Early Stuart,1,1952,1956,43,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_51,Early Stuart,1,1952,1957,51,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_52,Early Stuart,1,1952,1957,52,33582,15484,NA,NA,NA,10560,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_53,Early Stuart,1,1952,1957,53,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_62,Early Stuart,1,1952,1958,62,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_63,Early Stuart,1,1952,1958,63,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_64,Early Stuart,1,1952,1958,64,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1952_72,Early Stuart,1,1952,1959,72,33582,15484,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_21,Early Stuart,1,1953,1955,21,154312,78238,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1953_31,Early Stuart,1,1953,1956,31,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_32,Early Stuart,1,1953,1956,32,154312,78238,NA,NA,NA,294,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_41,Early Stuart,1,1953,1957,41,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_42,Early Stuart,1,1953,1957,42,154312,78238,NA,NA,NA,537711,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_43,Early Stuart,1,1953,1957,43,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_51,Early Stuart,1,1953,1958,51,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_52,Early Stuart,1,1953,1958,52,154312,78238,NA,NA,NA,2886,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_53,Early Stuart,1,1953,1958,53,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_62,Early Stuart,1,1953,1959,62,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_63,Early Stuart,1,1953,1959,63,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_64,Early Stuart,1,1953,1959,64,154312,78238,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1953_72,Early Stuart,1,1953,1960,72,154312,78238,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1954_21,Early Stuart,1,1954,1956,21,35058,18010,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_31,Early Stuart,1,1954,1957,31,35058,18010,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_32,Early Stuart,1,1954,1957,32,35058,18010,NA,NA,NA,341,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_41,Early Stuart,1,1954,1958,41,35058,18010,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_42,Early Stuart,1,1954,1958,42,35058,18010,NA,NA,NA,154781,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_43,Early Stuart,1,1954,1958,43,35058,18010,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_51,Early Stuart,1,1954,1959,51,35058,18010,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_52,Early Stuart,1,1954,1959,52,35058,18010,NA,NA,NA,701,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_53,Early Stuart,1,1954,1959,53,35058,18010,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1954_62,Early Stuart,1,1954,1960,62,35058,18010,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1954_63,Early Stuart,1,1954,1960,63,35058,18010,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1954_64,Early Stuart,1,1954,1960,64,35058,18010,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1954_72,Early Stuart,1,1954,1961,72,35058,18010,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_21,Early Stuart,1,1955,1957,21,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_31,Early Stuart,1,1955,1958,31,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_32,Early Stuart,1,1955,1958,32,2170,1397,NA,NA,NA,11,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_41,Early Stuart,1,1955,1959,41,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_42,Early Stuart,1,1955,1959,42,2170,1397,NA,NA,NA,25824,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_43,Early Stuart,1,1955,1959,43,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_51,Early Stuart,1,1955,1960,51,2170,1397,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1955_52,Early Stuart,1,1955,1960,52,2170,1397,NA,NA,NA,1632,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1955_53,Early Stuart,1,1955,1960,53,2170,1397,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1955_62,Early Stuart,1,1955,1961,62,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_63,Early Stuart,1,1955,1961,63,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_64,Early Stuart,1,1955,1961,64,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1955_72,Early Stuart,1,1955,1962,72,2170,1397,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_21,Early Stuart,1,1956,1958,21,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_31,Early Stuart,1,1956,1959,31,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_32,Early Stuart,1,1956,1959,32,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_41,Early Stuart,1,1956,1960,41,25157,16661,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1956_42,Early Stuart,1,1956,1960,42,25157,16661,NA,NA,NA,101035,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1956_43,Early Stuart,1,1956,1960,43,25157,16661,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1956_51,Early Stuart,1,1956,1961,51,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_52,Early Stuart,1,1956,1961,52,25157,16661,NA,NA,NA,6393,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_53,Early Stuart,1,1956,1961,53,25157,16661,NA,NA,NA,2966,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_62,Early Stuart,1,1956,1962,62,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_63,Early Stuart,1,1956,1962,63,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_64,Early Stuart,1,1956,1962,64,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1956_72,Early Stuart,1,1956,1963,72,25157,16661,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_21,Early Stuart,1,1957,1959,21,235033,119273,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_31,Early Stuart,1,1957,1960,31,235033,119273,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1957_32,Early Stuart,1,1957,1960,32,235033,119273,NA,NA,NA,730,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1957_41,Early Stuart,1,1957,1961,41,235033,119273,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_42,Early Stuart,1,1957,1961,42,235033,119273,NA,NA,NA,1215763,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_43,Early Stuart,1,1957,1961,43,235033,119273,NA,NA,NA,23,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_51,Early Stuart,1,1957,1962,51,235033,119273,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_52,Early Stuart,1,1957,1962,52,235033,119273,NA,NA,NA,3272,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_53,Early Stuart,1,1957,1962,53,235033,119273,NA,NA,NA,3148,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_62,Early Stuart,1,1957,1963,62,235033,119273,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_63,Early Stuart,1,1957,1963,63,235033,119273,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_64,Early Stuart,1,1957,1963,64,235033,119273,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1957_72,Early Stuart,1,1957,1964,72,235033,119273,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1958_21,Early Stuart,1,1958,1960,21,38812,22196,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1958_31,Early Stuart,1,1958,1961,31,38812,22196,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_32,Early Stuart,1,1958,1961,32,38812,22196,NA,NA,NA,755,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_41,Early Stuart,1,1958,1962,41,38812,22196,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_42,Early Stuart,1,1958,1962,42,38812,22196,NA,NA,NA,102112,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_43,Early Stuart,1,1958,1962,43,38812,22196,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_51,Early Stuart,1,1958,1963,51,38812,22196,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_52,Early Stuart,1,1958,1963,52,38812,22196,NA,NA,NA,240,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_53,Early Stuart,1,1958,1963,53,38812,22196,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1958_62,Early Stuart,1,1958,1964,62,38812,22196,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1958_63,Early Stuart,1,1958,1964,63,38812,22196,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1958_64,Early Stuart,1,1958,1964,64,38812,22196,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1958_72,Early Stuart,1,1958,1965,72,38812,22196,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_21,Early Stuart,1,1959,1961,21,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_31,Early Stuart,1,1959,1962,31,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_32,Early Stuart,1,1959,1962,32,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_41,Early Stuart,1,1959,1963,41,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_42,Early Stuart,1,1959,1963,42,2670,1297,NA,NA,NA,14682,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_43,Early Stuart,1,1959,1963,43,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_51,Early Stuart,1,1959,1964,51,2670,1297,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1959_52,Early Stuart,1,1959,1964,52,2670,1297,NA,NA,NA,6153,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1959_53,Early Stuart,1,1959,1964,53,2670,1297,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1959_62,Early Stuart,1,1959,1965,62,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_63,Early Stuart,1,1959,1965,63,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_64,Early Stuart,1,1959,1965,64,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1959_72,Early Stuart,1,1959,1966,72,2670,1297,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_21,Early Stuart,1,1960,1962,21,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_31,Early Stuart,1,1960,1963,31,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_32,Early Stuart,1,1960,1963,32,14572,7401,NA,NA,NA,22,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_41,Early Stuart,1,1960,1964,41,14572,7401,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1960_42,Early Stuart,1,1960,1964,42,14572,7401,NA,NA,NA,69925,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1960_43,Early Stuart,1,1960,1964,43,14572,7401,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1960_51,Early Stuart,1,1960,1965,51,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_52,Early Stuart,1,1960,1965,52,14572,7401,NA,NA,NA,4202,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_53,Early Stuart,1,1960,1965,53,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_62,Early Stuart,1,1960,1966,62,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_63,Early Stuart,1,1960,1966,63,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_64,Early Stuart,1,1960,1966,64,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1960_72,Early Stuart,1,1960,1967,72,14572,7401,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_21,Early Stuart,1,1961,1963,21,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_31,Early Stuart,1,1961,1964,31,199136,87782,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1961_32,Early Stuart,1,1961,1964,32,199136,87782,NA,NA,NA,630,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1961_41,Early Stuart,1,1961,1965,41,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_42,Early Stuart,1,1961,1965,42,199136,87782,NA,NA,NA,252123,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_43,Early Stuart,1,1961,1965,43,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_51,Early Stuart,1,1961,1966,51,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_52,Early Stuart,1,1961,1966,52,199136,87782,NA,NA,NA,2208,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_53,Early Stuart,1,1961,1966,53,199136,87782,NA,NA,NA,881,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_62,Early Stuart,1,1961,1967,62,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_63,Early Stuart,1,1961,1967,63,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_64,Early Stuart,1,1961,1967,64,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1961_72,Early Stuart,1,1961,1968,72,199136,87782,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1962_21,Early Stuart,1,1962,1964,21,26716,14103,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,4,NA,Include,Include
Early Stuart_1962_31,Early Stuart,1,1962,1965,31,26716,14103,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1962_32,Early Stuart,1,1962,1965,32,26716,14103,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1962_41,Early Stuart,1,1962,1966,41,26716,14103,NA,NA,NA,0,NA,NA,NA,historical,NA,4,NA,Include,Include
Early Stuart_1962_42,Early Stuart,1,1962,1966,42,26716,14103,NA,NA,NA,67661,NA,NA,NA,historical,NA,4,NA,Include,Include
